net|sta|evtnum|mean(azimuth)|std|median|mad|starttime|endtime
HE|CXT|190|5.19|7.29|5.46|7.26|2007-08-05T09:28:00Z|2009-02-12T01:25:00Z
HE|CXT|161|4.24|8.69|4.03|5.54|2009-02-12T07:38:00Z|2010-11-26T17:36:00Z
HE|CXT|228|3.35|6.32|2.87|5.77|2010-12-13T01:14:00Z|2013-09-02T04:30:00Z
HE|FEN|120|-5.74|6.16|-4.93|5.03|2009-07-01T09:30:00Z|2010-08-10T23:18:00Z
HE|FEN|233|-5.67|5.59|-4.79|4.09|2010-08-13T21:19:00Z|2013-07-09T17:04:00Z
HE|GAN|68|0.83|10.35|2.23|5.46|2009-07-01T09:30:00Z|2010-12-17T13:22:00Z
HE|GAN|59|-8.89|5.30|-8.29|3.81|2011-01-09T17:21:00Z|2012-01-10T18:36:00Z
HE|GAN|86|1.83|8.35|2.68|3.88|2012-02-05T16:40:00Z|2013-05-14T19:18:00Z
HE|GAN|23|3.55|6.92|4.06|6.05|2013-05-18T10:03:00Z|2013-09-01T11:52:00Z
HE|HNS|485|-1.04|5.64|-0.93|5.41|2008-05-20T13:53:00Z|2013-09-01T11:52:00Z
HE|HST|232|12.45|5.74|12.63|4.04|2007-08-01T17:08:00Z|2010-06-26T09:50:00Z
HE|HST|72|1.82|5.00|1.68|3.80|2010-07-10T11:43:00Z|2011-08-22T20:12:00Z
HE|HST|72|4.99|4.62|5.54|4.52|2011-08-24T23:06:00Z|2012-08-18T15:31:00Z
HE|JNX|174|2.52|5.10|2.65|4.19|2011-02-10T14:41:00Z|2013-09-02T04:30:00Z
HE|KAB|37|5.07|12.70|6.81|3.74|2007-08-01T17:08:00Z|2007-12-04T03:37:00Z
HE|KAB|150|8.12|11.72|8.36|4.98|2007-12-15T08:03:00Z|2010-09-07T00:57:00Z
HE|KAB|191|8.86|5.78|8.90|4.52|2010-09-23T12:53:00Z|2013-09-01T11:52:00Z
HE|KUC|355|0.63|7.70|0.24|3.59|2009-08-12T20:04:00Z|2013-07-08T02:13:00Z
HE|LIC|100|0.30|12.75|0.94|4.02|2007-08-01T17:08:00Z|2008-06-22T23:56:00Z
HE|LIC|503|-2.99|6.93|-3.06|4.52|2008-10-29T11:32:00Z|2013-09-02T04:30:00Z
HE|LOH|180|-12.40|7.69|-12.43|3.78|2008-03-15T14:43:00Z|2010-06-12T19:26:00Z
HE|LOH|206|-22.35|8.78|-23.10|4.24|2010-06-26T05:30:00Z|2013-08-12T00:53:00Z
HE|LUQ|54|-0.91|11.75|-2.30|5.47|2010-11-16T01:39:00Z|2011-11-28T12:26:00Z
HE|LUQ|118|2.94|5.72|3.78|4.36|2011-12-14T05:04:00Z|2013-09-01T11:52:00Z
HE|QIL|134|2.08|6.95|2.06|5.18|2009-08-12T20:04:00Z|2010-12-25T13:16:00Z
HE|QIL|10|-3.22|12.04|-1.85|6.86|2011-01-09T17:21:00Z|2011-02-21T10:57:00Z
HE|QIL|114|1.83|5.35|2.15|4.92|2011-04-03T20:06:00Z|2013-09-01T11:52:00Z
HE|QIX|100|-1.97|4.78|-2.32|4.58|2009-08-30T14:51:00Z|2011-12-14T05:04:00Z
HE|QIX|106|0.33|4.39|0.72|3.74|2011-12-19T01:23:00Z|2013-08-12T00:53:00Z
HE|SXT|65|-4.61|9.00|-4.12|2.56|2007-08-01T17:08:00Z|2008-01-01T19:13:00Z
HE|SXT|107|-8.97|6.13|-8.18|2.94|2008-01-05T11:01:00Z|2008-10-21T13:00:00Z
HE|SXT|258|-8.98|4.02|-8.95|2.86|2008-10-23T09:21:00Z|2011-03-04T04:07:00Z
HE|SXT|235|-0.52|4.33|-0.82|2.65|2011-03-07T00:09:00Z|2013-09-02T04:30:00Z
HE|TLK|338|3.28|5.69|3.80|4.36|2009-07-01T09:30:00Z|2013-02-07T18:59:00Z
HE|TLK|52|2.37|6.40|2.57|5.75|2013-02-10T18:39:00Z|2013-09-02T04:30:00Z
HE|WAT|242|-3.70|6.83|-2.68|4.00|2007-08-01T17:08:00Z|2009-08-10T04:06:00Z
HE|WAT|351|-3.42|5.24|-2.93|3.37|2009-08-16T07:38:00Z|2013-04-13T22:49:00Z
HE|WAT|36|-2.81|5.57|-3.42|5.52|2013-04-16T10:00:00Z|2013-09-02T04:30:00Z
HE|WEC|44|-19.05|10.54|-17.00|5.71|2007-08-01T17:08:00Z|2007-12-04T03:37:00Z
HE|WEC|175|-21.19|6.86|-20.85|6.05|2007-12-13T15:51:00Z|2010-05-31T19:51:00Z
HE|WEC|166|-16.38|7.96|-16.66|5.61|2010-06-02T09:28:00Z|2012-02-02T13:34:00Z
HE|WEC|129|-7.34|8.08|-6.59|6.67|2012-03-09T07:09:00Z|2013-09-01T11:52:00Z
HE|XIL|114|4.76|10.80|3.42|5.80|2009-07-01T09:30:00Z|2010-07-23T22:08:00Z
HE|XIL|15|17.20|11.42|22.11|2.76|2010-08-04T07:15:00Z|2010-08-21T05:42:00Z
HE|XIL|251|4.22|9.74|4.62|5.72|2010-08-22T09:33:00Z|2013-09-01T11:52:00Z
HE|XIT|70|-1.05|5.86|-1.11|4.87|2009-08-30T14:51:00Z|2011-12-14T05:04:00Z
HE|XIT|81|2.43|4.30|2.39|3.26|2012-01-10T18:36:00Z|2013-02-23T11:09:00Z
HE|XIT|40|3.12|5.23|3.81|3.59|2013-03-13T03:12:00Z|2013-09-01T11:52:00Z
HE|XLD|70|-3.97|5.20|-4.57|5.29|2009-07-01T09:30:00Z|2010-01-17T09:46:00Z
HE|XLD|330|-4.07|5.21|-4.43|4.74|2010-02-09T01:03:00Z|2013-08-31T06:38:00Z
HE|XTT|54|-2.47|6.93|-2.41|4.38|2007-09-12T11:10:00Z|2008-02-05T05:56:00Z
HE|XTT|36|-0.16|13.11|-1.67|3.45|2008-02-14T12:08:00Z|2008-05-23T22:50:00Z
HE|XTT|458|-2.34|5.09|-2.44|4.20|2008-06-03T22:04:00Z|2013-08-06T10:41:00Z
HE|YAY|39|-3.94|8.11|-4.88|4.11|2009-07-15T20:10:00Z|2009-11-05T07:12:00Z
HE|YAY|119|-4.42|8.99|-3.52|4.17|2009-11-09T10:44:00Z|2011-04-15T21:46:00Z
HE|YAY|192|-2.20|4.61|-1.88|3.17|2011-05-14T21:07:00Z|2013-09-02T04:30:00Z
HE|YIX|92|3.19|4.92|3.36|4.20|2011-12-13T07:52:00Z|2013-09-01T11:52:00Z
HE|YON|244|11.54|7.19|11.31|5.19|2007-08-15T20:22:00Z|2010-01-29T09:19:00Z
HE|YON|78|11.60|5.50|11.37|5.20|2010-02-11T18:43:00Z|2011-03-07T00:09:00Z
HE|YON|213|0.98|5.65|0.66|4.51|2011-03-17T02:48:00Z|2013-09-02T04:30:00Z
HE|YUS|108|-4.83|10.37|-2.59|7.11|2009-07-06T14:53:00Z|2010-08-27T19:23:00Z
HE|YUS|66|-6.02|8.58|-3.33|5.72|2010-12-02T03:12:00Z|2011-12-07T13:38:00Z
HE|YUS|119|4.46|6.90|5.80|5.66|2011-12-13T07:52:00Z|2013-09-01T11:52:00Z
HE|ZAH|17|5.14|6.97|4.47|8.79|2011-01-09T10:03:00Z|2011-05-14T21:07:00Z
HE|ZAH|44|-1.43|8.36|-0.82|7.14|2011-05-15T18:37:00Z|2012-01-10T18:36:00Z
HE|ZAH|11|8.76|7.08|7.82|5.93|2012-01-18T12:50:00Z|2012-04-11T08:38:00Z
HE|ZAH|111|2.40|5.29|2.49|4.45|2012-04-14T19:26:00Z|2013-09-01T11:52:00Z
HE|ZHB|73|-2.89|7.95|-2.05|6.14|2009-07-01T09:30:00Z|2010-05-16T00:33:00Z
HE|ZHB|254|-0.09|6.53|0.06|6.11|2010-05-31T10:16:00Z|2013-09-01T11:52:00Z
HE|ZJK|205|-7.77|3.98|-7.44|3.32|2009-07-06T14:53:00Z|2011-11-30T19:42:00Z
HE|ZJK|75|-0.81|5.43|-0.78|2.51|2011-12-07T13:38:00Z|2013-02-07T18:59:00Z
HE|ZJK|37|1.36|5.53|-0.04|3.38|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
HI|BSH|108|-3.64|4.74|-3.64|2.94|2007-08-02T02:37:00Z|2008-12-24T09:11:00Z
HI|BSH|301|-3.77|3.93|-3.82|3.20|2009-01-15T07:27:00Z|2013-02-23T14:31:00Z
HI|BSH|23|-2.87|11.14|-0.11|1.99|2013-02-28T03:09:00Z|2013-05-12T00:07:00Z
HI|BSH|19|0.81|5.17|1.87|3.13|2013-05-17T06:43:00Z|2013-09-01T11:52:00Z
HI|BSL|316|1.89|3.49|1.83|2.91|2007-08-15T20:22:00Z|2012-06-29T21:07:00Z
HI|BSL|65|-0.22|5.49|0.31|3.28|2012-07-06T02:28:00Z|2013-08-30T16:25:00Z
HI|CHM|76|0.16|5.29|0.61|4.24|2007-08-01T17:08:00Z|2008-07-25T00:29:00Z
HI|CHM|94|-1.19|5.00|-1.41|3.88|2008-08-04T20:45:00Z|2010-08-04T22:01:00Z
HI|CHM|26|5.25|8.55|3.21|5.79|2010-08-10T05:23:00Z|2011-04-13T19:57:00Z
HI|CHM|134|2.14|4.26|2.10|3.48|2011-05-13T23:35:00Z|2013-09-01T11:52:00Z
HI|DAN|51|-0.91|4.76|-0.14|2.25|2007-08-01T17:08:00Z|2008-07-19T11:01:00Z
HI|DAN|264|0.35|3.48|0.12|2.78|2008-07-23T15:26:00Z|2013-09-02T04:30:00Z
HI|DOF|130|2.27|7.68|2.41|4.14|2007-08-14T04:13:00Z|2009-12-24T00:23:00Z
HI|DOF|179|1.37|7.53|1.76|4.14|2010-01-02T08:45:00Z|2012-10-23T09:33:00Z
HI|DOF|18|2.41|11.73|2.84|3.81|2012-11-16T18:12:00Z|2013-04-21T13:48:00Z
HI|JFL|93|6.78|5.65|6.73|5.75|2007-09-26T12:36:00Z|2008-10-09T17:49:00Z
HI|JFL|143|5.80|4.85|5.47|3.87|2008-10-19T05:10:00Z|2011-03-09T21:22:00Z
HI|JFL|19|11.56|5.27|11.77|3.32|2011-03-10T08:08:00Z|2011-03-30T05:29:00Z
HI|JFL|139|6.58|5.51|5.30|5.31|2011-04-01T11:57:00Z|2013-04-06T00:29:00Z
HI|JFL|24|1.31|4.44|0.29|4.64|2013-04-06T04:42:00Z|2013-08-12T00:53:00Z
HI|LSH|224|0.21|6.06|-0.21|2.85|2007-08-01T17:08:00Z|2011-06-12T20:32:00Z
HI|LSH|126|-1.49|4.76|-1.60|3.51|2011-07-10T00:57:00Z|2013-09-02T04:30:00Z
HI|NAD|66|-0.32|9.30|0.84|3.32|2007-08-02T02:37:00Z|2008-09-06T05:47:00Z
HI|NAD|58|-0.81|9.16|-1.96|4.77|2008-09-08T18:52:00Z|2009-09-10T02:46:00Z
HI|NAD|323|0.29|5.03|0.42|3.90|2009-10-12T03:15:00Z|2013-09-02T04:30:00Z
HI|QIH|180|-2.22|7.31|-2.30|3.25|2007-08-14T04:13:00Z|2011-02-18T04:23:00Z
HI|QIH|158|-1.62|4.52|-1.66|3.28|2011-03-22T07:18:00Z|2013-09-02T04:30:00Z
HI|QSL|136|-1.01|5.69|-0.69|4.05|2010-03-14T08:08:00Z|2013-09-02T04:30:00Z
HI|QXL|217|-0.46|6.30|-0.94|3.04|2007-08-01T17:08:00Z|2011-06-09T20:16:00Z
HI|QXL|53|-0.88|3.99|-0.96|3.71|2012-04-06T16:15:00Z|2013-07-07T18:35:00Z
HI|QZN|292|0.17|6.97|0.64|3.04|2010-06-13T03:32:00Z|2013-09-02T04:30:00Z
HI|SAJ|88|1.79|6.58|2.83|3.39|2007-08-01T17:08:00Z|2009-07-15T09:22:00Z
HI|SAJ|46|3.42|9.40|2.92|3.76|2009-08-10T04:06:00Z|2011-03-09T02:45:00Z
HI|SAY|26|5.78|9.85|3.92|4.23|2007-08-01T17:08:00Z|2008-06-23T12:32:00Z
HI|SAY|162|6.91|6.05|6.98|3.98|2008-07-06T01:00:00Z|2010-10-16T15:44:00Z
HI|SAY|177|5.74|4.36|5.70|3.94|2010-12-20T18:41:00Z|2013-03-24T04:18:00Z
HI|SAY|40|-1.12|4.84|-1.01|4.72|2013-03-24T08:13:00Z|2013-09-02T04:30:00Z
HI|SHP|15|6.54|14.23|5.40|5.92|2007-08-02T02:37:00Z|2007-11-19T00:52:00Z
HI|SHP|202|4.97|7.44|4.32|5.07|2007-12-15T08:03:00Z|2013-04-09T11:52:00Z
HI|SLL|17|-3.02|10.78|-1.54|9.76|2007-08-02T02:37:00Z|2007-12-19T09:30:00Z
HI|SLL|118|2.89|6.62|1.61|5.95|2007-12-21T07:24:00Z|2010-06-11T12:40:00Z
HI|SLL|199|3.34|5.35|3.16|4.52|2010-06-28T12:07:00Z|2013-09-02T04:30:00Z
HI|WAN|17|-0.91|5.76|-1.81|3.44|2007-08-01T17:08:00Z|2007-12-10T12:10:00Z
HI|WAN|97|-1.91|4.73|-2.18|2.56|2007-12-15T09:39:00Z|2010-01-29T09:19:00Z
HI|WAN|179|-3.80|3.78|-3.64|2.92|2010-02-13T02:34:00Z|2013-05-18T05:48:00Z
HI|WAN|15|0.09|3.71|-0.43|2.12|2013-05-19T18:44:00Z|2013-09-02T04:30:00Z
HI|WET|162|-1.55|3.47|-1.69|2.22|2007-08-01T17:08:00Z|2011-02-20T21:43:00Z
HI|WET|143|-1.31|3.64|-1.27|3.35|2011-02-21T23:51:00Z|2013-08-16T02:31:00Z
HI|WZS|156|-6.33|4.81|-6.01|3.17|2007-08-01T17:08:00Z|2010-07-22T05:03:00Z
HI|WZS|81|-0.59|5.57|0.17|4.74|2010-08-04T12:58:00Z|2011-08-03T22:39:00Z
HI|WZS|90|-5.14|4.45|-5.32|3.75|2011-08-11T10:06:00Z|2013-03-24T04:18:00Z
HI|WZS|46|0.98|4.40|1.77|2.77|2013-03-24T08:13:00Z|2013-09-02T04:30:00Z
HI|XSA|21|-0.59|13.48|0.25|3.83|2010-08-04T04:46:00Z|2013-05-14T00:32:00Z
HI|YML|26|-3.62|7.18|-3.75|7.85|2007-08-27T17:11:00Z|2013-08-30T16:25:00Z
HL|BAQ|429|-1.28|6.85|-1.54|5.03|2007-12-12T23:39:00Z|2013-02-08T11:12:00Z
HL|BAQ|23|-1.04|7.07|0.08|7.69|2013-02-11T09:40:00Z|2013-07-02T07:37:00Z
HL|BAQ|15|6.34|7.53|4.77|5.53|2013-07-04T17:16:00Z|2013-09-03T20:19:00Z
HL|BEL|251|-15.14|7.62|-14.64|5.75|2007-07-30T22:42:00Z|2012-02-02T13:34:00Z
HL|BEL|35|-14.82|5.28|-16.08|4.18|2012-03-09T07:09:00Z|2013-05-11T20:46:00Z
HL|BEL|14|-1.38|5.06|-0.88|4.00|2013-05-14T00:32:00Z|2013-09-01T11:52:00Z
HL|BJS|32|43.06|11.22|41.34|4.46|2007-10-13T17:45:00Z|2008-06-20T03:16:00Z
HL|BJS|23|41.81|8.79|40.21|5.41|2008-07-19T09:27:00Z|2011-02-03T20:25:00Z
HL|BNX|112|17.92|13.46|18.83|2.75|2009-09-02T07:55:00Z|2011-07-19T19:35:00Z
HL|BNX|90|0.55|5.54|0.95|3.10|2012-04-17T07:13:00Z|2013-09-01T11:52:00Z
HL|DNI|268|-22.63|5.74|-22.12|3.95|2008-02-25T21:02:00Z|2012-06-16T22:18:00Z
HL|DNI|48|-22.56|6.07|-23.40|3.40|2012-06-29T21:07:00Z|2013-05-11T20:46:00Z
HL|DNI|23|0.01|3.38|0.34|3.40|2013-05-15T03:36:00Z|2013-09-03T20:19:00Z
HL|FUY|176|-4.53|6.23|-5.04|4.83|2011-01-13T16:16:00Z|2013-09-03T20:19:00Z
HL|HEG|415|-2.29|10.12|-2.00|4.97|2008-08-06T22:41:00Z|2013-09-02T04:30:00Z
HL|HEH|322|2.02|6.03|1.86|4.34|2008-05-20T13:53:00Z|2012-01-14T16:36:00Z
HL|HEH|19|2.23|6.31|3.26|2.85|2012-01-24T00:52:00Z|2012-05-12T23:28:00Z
HL|HEH|17|-6.72|4.97|-7.34|5.04|2012-05-24T22:47:00Z|2012-09-25T23:45:00Z
HL|HEH|46|1.17|3.46|0.83|2.55|2012-09-26T23:39:00Z|2013-09-01T11:52:00Z
HL|HHL|93|-28.99|11.34|-27.78|3.32|2008-08-10T08:20:00Z|2010-09-27T11:22:00Z
HL|HHL|14|-28.38|3.23|-28.80|4.33|2010-09-29T17:11:00Z|2011-06-24T03:09:00Z
HL|JGD|301|7.40|5.55|6.67|4.86|2007-08-08T17:04:00Z|2011-06-21T02:04:00Z
HL|JGD|123|6.84|6.80|6.27|4.42|2011-06-26T12:16:00Z|2013-06-24T08:01:00Z
HL|JIY|43|-6.95|4.40|-7.02|5.00|2007-08-01T17:08:00Z|2009-04-06T12:16:00Z
HL|JIY|241|-10.87|5.25|-11.37|5.06|2009-04-15T17:47:00Z|2012-10-17T04:42:00Z
HL|JIY|32|-1.05|6.03|-1.95|6.55|2012-10-28T03:04:00Z|2013-09-01T11:52:00Z
HL|JMS|124|153.71|10.75|154.33|6.18|2007-07-30T22:42:00Z|2010-05-27T17:14:00Z
HL|JMS|127|3.13|8.55|4.49|6.91|2011-09-03T22:55:00Z|2013-09-02T04:30:00Z
HL|LBE|133|0.09|8.20|1.12|4.94|2007-07-30T22:42:00Z|2009-09-29T17:48:00Z
HL|LBE|223|0.68|5.37|0.80|3.85|2009-10-15T18:33:00Z|2013-08-24T08:40:00Z
HL|LIH|150|-49.03|4.42|-49.00|3.40|2007-07-30T22:42:00Z|2009-04-05T12:56:00Z
HL|LIH|32|-46.59|5.26|-47.73|4.74|2009-04-15T20:01:00Z|2010-02-17T19:38:00Z
HL|LIH|227|-48.76|5.37|-48.73|2.45|2010-03-05T16:07:00Z|2013-05-11T20:46:00Z
HL|LIH|16|5.98|5.50|5.61|4.37|2013-05-26T06:08:00Z|2013-09-01T11:52:00Z
HL|MDJ|275|-1.20|7.10|-1.92|6.92|2008-02-20T08:08:00Z|2010-12-20T18:41:00Z
HL|MDJ|10|-18.52|7.68|-16.53|6.06|2011-01-13T16:16:00Z|2011-03-10T17:08:00Z
HL|MDJ|195|-0.49|7.32|-0.45|7.18|2011-03-24T13:55:00Z|2013-09-01T11:52:00Z
HL|MIH|420|-0.24|6.76|-1.02|5.91|2007-07-30T22:42:00Z|2013-05-26T06:08:00Z
HL|MIH|20|-1.08|6.22|-0.47|5.99|2013-06-02T20:08:00Z|2013-09-03T20:19:00Z
HL|MOH|212|-12.63|6.93|-13.04|4.31|2007-08-05T09:28:00Z|2010-07-20T19:18:00Z
HL|MOH|91|-8.11|10.76|-9.61|2.88|2010-08-03T12:08:00Z|2013-02-06T00:07:00Z
HL|NEH|71|1.23|9.28|0.65|5.14|2007-08-08T17:04:00Z|2009-04-15T20:01:00Z
HL|NEH|99|-4.98|10.53|-5.09|4.74|2009-07-15T20:10:00Z|2013-05-26T06:08:00Z
HL|NZN|179|0.97|5.02|1.08|3.01|2007-07-30T22:42:00Z|2009-11-10T02:48:00Z
HL|NZN|239|1.61|5.77|0.83|2.99|2009-11-22T07:48:00Z|2013-04-14T01:32:00Z
HL|NZN|21|0.29|3.18|0.83|2.70|2013-04-23T23:14:00Z|2013-09-01T11:52:00Z
HL|QAN|105|27.17|5.26|28.00|5.16|2007-07-30T22:42:00Z|2009-10-04T10:58:00Z
HL|QAN|102|23.30|9.36|23.13|5.56|2009-10-08T08:28:00Z|2012-03-20T17:56:00Z
HL|QAN|48|-29.51|6.00|-29.51|3.44|2012-03-21T22:15:00Z|2013-05-11T20:46:00Z
HL|QTH|86|-6.54|11.15|-7.43|4.74|2007-10-24T21:02:00Z|2010-05-16T00:33:00Z
HL|QTH|146|23.76|11.41|22.27|5.93|2010-05-27T17:14:00Z|2012-06-29T21:07:00Z
HL|QTH|62|1.21|12.53|-1.39|5.35|2012-08-19T22:41:00Z|2013-09-01T11:52:00Z
HL|SHZ|190|-7.05|10.11|-7.22|4.57|2007-10-12T00:31:00Z|2012-09-08T10:51:00Z
HL|SYS|34|2.59|12.04|3.94|3.81|2007-07-30T22:42:00Z|2008-01-22T17:14:00Z
HL|SYS|344|7.47|5.32|7.47|4.97|2008-04-28T20:26:00Z|2013-05-26T06:08:00Z
HL|SYS|23|-2.17|3.47|-2.42|2.71|2013-06-01T14:10:00Z|2013-09-03T20:19:00Z
HL|TAH|123|-9.17|5.68|-8.69|3.75|2007-08-01T17:08:00Z|2009-08-28T01:51:00Z
HL|TAH|182|-9.79|4.90|-9.94|4.11|2009-09-02T07:55:00Z|2012-09-25T23:45:00Z
HL|TAH|24|-0.94|7.26|-0.10|2.33|2012-09-26T23:39:00Z|2013-06-24T09:55:00Z
HL|TAH|10|-0.76|4.98|-0.25|2.48|2013-07-03T03:40:00Z|2013-09-03T20:19:00Z
HL|TOH|302|-5.59|4.56|-5.74|3.71|2007-07-30T22:42:00Z|2012-05-20T02:03:00Z
HL|TOH|30|-4.71|5.20|-4.35|3.45|2012-06-10T12:44:00Z|2012-12-02T00:54:00Z
HL|TOH|28|-0.01|5.57|-0.57|4.43|2012-12-10T16:53:00Z|2013-09-01T11:52:00Z
HL|WDL|116|-1.19|4.15|-1.35|3.05|2007-07-30T22:42:00Z|2008-10-23T09:21:00Z
HL|WDL|328|-2.06|4.40|-2.38|3.55|2008-10-28T23:09:00Z|2013-01-21T22:22:00Z
HL|WDL|29|1.64|4.29|1.25|3.71|2013-04-09T11:52:00Z|2013-09-01T11:52:00Z
HL|WUC|121|-10.09|6.76|-9.99|4.94|2007-08-08T17:04:00Z|2009-02-18T21:53:00Z
HL|WUC|301|-11.42|4.95|-11.62|4.33|2009-03-06T10:50:00Z|2013-05-23T17:19:00Z
HL|WUC|19|-5.81|5.22|-6.10|4.09|2013-05-23T21:07:00Z|2013-09-02T04:30:00Z
HL|XBH|151|-25.61|4.71|-25.79|3.83|2007-10-16T21:05:00Z|2010-08-21T05:42:00Z
HL|XUK|163|170.75|5.29|170.42|3.07|2008-10-22T12:55:00Z|2011-04-06T14:01:00Z
HL|XUK|37|-1.15|4.03|-0.68|3.10|2013-02-07T00:30:00Z|2013-09-03T20:19:00Z
HL|YAS|20|1.96|6.89|1.02|4.89|2007-08-01T17:08:00Z|2007-11-25T16:02:00Z
HL|YAS|11|-9.82|7.04|-8.16|7.31|2007-11-25T19:53:00Z|2008-01-01T18:54:00Z
HL|YAS|189|-0.54|8.76|-0.14|6.05|2008-01-04T07:29:00Z|2010-07-23T22:59:00Z
HL|YAS|182|0.26|5.67|0.15|4.83|2010-07-29T07:31:00Z|2013-09-03T20:19:00Z
HL|YCH|103|-1.34|4.33|-1.75|3.23|2007-09-02T01:05:00Z|2010-02-01T22:28:00Z
HL|YCH|166|-1.62|3.99|-1.75|3.42|2010-02-15T21:51:00Z|2012-12-21T22:28:00Z
HL|YCH|29|2.38|3.18|2.36|3.31|2013-01-05T08:58:00Z|2013-09-01T11:52:00Z
HL|YIL|40|-5.27|7.37|-4.32|5.08|2007-08-01T17:08:00Z|2008-07-19T09:27:00Z
HL|YIL|345|-6.70|5.81|-7.28|4.77|2008-07-25T00:29:00Z|2012-10-28T03:04:00Z
HL|YIL|13|-6.04|6.99|-4.25|4.86|2013-07-04T17:16:00Z|2013-09-01T11:52:00Z
HN|CHL|158|2.29|6.17|2.36|3.56|2007-08-01T17:08:00Z|2009-10-22T19:51:00Z
HN|CHL|168|2.86|4.26|3.12|2.94|2010-04-11T09:40:00Z|2013-07-07T18:35:00Z
HN|CHZ|315|4.33|4.60|3.94|3.41|2007-08-01T17:08:00Z|2012-11-06T06:17:00Z
HN|CHZ|45|-0.09|4.49|0.64|3.47|2012-11-16T18:12:00Z|2013-09-01T11:52:00Z
HN|CNS|179|-6.23|5.60|-6.16|4.49|2008-05-20T13:53:00Z|2010-12-25T13:16:00Z
HN|CNS|59|-6.28|5.34|-6.54|4.43|2011-01-13T16:16:00Z|2012-01-18T12:50:00Z
HN|CNS|89|-3.03|4.21|-3.04|4.09|2012-03-20T17:56:00Z|2013-08-30T16:25:00Z
HN|HEY|222|-6.75|5.14|-6.63|4.52|2007-09-12T23:49:00Z|2011-05-05T14:13:00Z
HN|HEY|97|-8.39|4.86|-7.87|4.23|2011-05-14T21:07:00Z|2013-01-28T16:38:00Z
HN|HEY|52|-2.32|5.24|-1.73|4.94|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
HN|HOJ|31|8.87|10.64|11.11|7.65|2008-06-06T13:42:00Z|2008-09-26T18:46:00Z
HN|HOJ|15|9.81|5.27|9.50|5.90|2008-10-05T09:12:00Z|2008-11-07T16:04:00Z
HN|HOJ|76|-2.75|7.98|-1.35|8.87|2009-05-12T01:26:00Z|2010-06-18T02:23:00Z
HN|HOJ|239|1.07|6.49|1.69|4.66|2010-06-24T05:32:00Z|2013-09-01T11:52:00Z
HN|JIS|312|2.45|8.85|2.10|4.94|2009-07-15T09:22:00Z|2013-09-01T11:52:00Z
HN|LOD|11|-9.93|12.70|-7.92|4.05|2007-09-12T23:49:00Z|2007-10-25T05:25:00Z
HN|LOD|112|-6.45|5.49|-6.94|2.91|2007-12-09T07:28:00Z|2010-09-30T03:45:00Z
HN|LOD|79|-7.07|4.81|-6.76|3.26|2010-10-16T15:44:00Z|2013-08-12T00:53:00Z
HN|MIL|247|167.00|4.54|167.14|2.73|2008-06-06T13:42:00Z|2013-04-14T01:32:00Z
HN|MIL|10|166.95|1.88|166.75|1.63|2013-05-24T14:56:00Z|2013-08-30T16:25:00Z
HN|NIX|142|-5.45|5.25|-5.47|3.36|2007-08-08T17:04:00Z|2009-05-19T17:35:00Z
HN|NIX|145|-5.43|4.98|-5.69|3.05|2009-06-03T18:54:00Z|2011-08-11T10:06:00Z
HN|NIX|88|-5.01|4.17|-4.89|2.36|2011-08-22T20:12:00Z|2013-02-14T13:13:00Z
HN|NIX|47|-0.90|2.77|-0.71|2.76|2013-02-28T14:05:00Z|2013-09-02T04:30:00Z
HN|SHY|16|1.92|8.36|-1.18|2.13|2008-06-06T13:42:00Z|2008-11-01T01:13:00Z
HN|SHY|286|-1.53|4.86|-1.59|3.58|2008-11-07T07:19:00Z|2013-09-01T11:52:00Z
HN|TAY|330|-147.95|9.11|-148.00|5.07|2007-10-24T21:02:00Z|2013-07-03T03:40:00Z
HN|YIY|336|3.48|4.64|4.03|3.00|2007-08-01T17:08:00Z|2012-04-17T07:13:00Z
HN|YIY|17|6.01|10.14|4.96|5.16|2012-04-23T22:40:00Z|2012-08-02T09:56:00Z
HN|YIY|21|4.23|4.50|3.58|5.04|2012-08-11T12:23:00Z|2013-01-28T16:38:00Z
HN|YIY|33|-0.56|4.47|-0.31|2.30|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
HN|YOZ|77|-2.54|6.01|-2.56|4.46|2011-01-13T16:16:00Z|2012-03-12T06:06:00Z
HN|YOZ|42|-4.11|4.38|-3.62|3.43|2012-03-14T21:13:00Z|2013-01-28T16:38:00Z
HN|YOZ|42|0.78|5.08|1.05|3.81|2013-02-06T00:07:00Z|2013-09-01T11:52:00Z
HN|ZJJ|12|-15.90|8.36|-17.79|6.68|2008-02-03T07:34:00Z|2008-03-03T09:31:00Z
HN|ZJJ|221|-1.01|10.18|0.33|7.38|2008-03-06T01:21:00Z|2013-09-01T11:52:00Z
JL|BCT|29|109.04|10.97|111.38|2.19|2007-07-30T22:42:00Z|2007-10-12T00:31:00Z
JL|BCT|204|111.33|4.50|111.81|2.97|2007-10-24T21:02:00Z|2010-07-23T22:59:00Z
JL|BCT|113|-9.73|4.48|-9.55|2.83|2011-01-18T20:23:00Z|2013-04-23T23:14:00Z
JL|BCT|17|2.32|4.20|2.31|3.14|2013-05-01T06:57:00Z|2013-09-01T11:52:00Z
