 141.6507   11.0802
 142.5674   11.2122
 143.2926   11.4014
 143.9462   11.5877
 144.4448   11.7853
 144.9784   12.0228
 145.4799   12.2886
 145.9303   12.5899
 146.4785   13.0717
 146.8733   13.5014
 147.1745   13.9630
 147.4157   14.5822
 147.5649   15.1193
 147.7769   16.2117
 147.8602   16.7697
 147.8821   17.5952
 147.8339   18.1588
 147.7418   18.7607
 147.5853   19.4087
 147.4172   19.8920
 147.0707   20.7216
 146.7373   21.2594
 146.3908   21.7165
 146.0282   22.1478
 145.5793   22.5454
 145.1290   22.8314
 144.5705   23.2431
 144.0617   23.6643
 143.6099   24.0974
 143.3730   24.4653
 143.1610   24.9143
 143.0689   25.4343
 143.1026   26.0296
 143.2062   26.1759
