gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200708010815A,1.7746341013824882,-0.15716658986175133,2.365486866359447,770.1911999999999,-68.21030000000007,1026.6213,434
200708020237A,12.038607093425606,6.3141768166089935,17.86768512110726,6958.3149,3649.594199999998,10327.521999999997,578
200708220726A,3.474635114503816,-0.213896183206107,8.280951526717562,910.3543999999997,-56.04080000000004,2169.6093000000014,262
200709031614A,11.575699166666663,5.333660833333334,19.399644583333338,2778.1677999999993,1280.0786,4655.914700000001,240
200709061751A,7.028593570219963,3.622564297800336,11.893341116751271,4153.898799999998,2140.9354999999987,7028.964600000001,591
200710061238A,7.4902069464544105,6.10397742402315,13.721393921852378,5175.732999999997,4217.848399999997,9481.483199999993,691
200710081710A,2.9574062968515746,2.7341547226386815,6.712814392803607,1972.5900000000004,1823.6812000000007,4477.447200000006,667
200710251350A,6.348938857142859,2.906460571428571,14.63598,1111.0643000000005,508.63059999999996,2561.2965,175
200711270427A,3.935905763688759,1.9066854466858774,,2731.5185999999985,1323.239699999999,,694
200712070047A,4.486514583333333,0.08884434523809465,10.463637202380946,1507.4689,29.851699999999802,3515.782099999998,336
200712251404A,4.640548676470586,2.8077486764705903,9.906568382352939,3155.5730999999987,1909.2691000000013,6736.466499999998,680
200712271752A,2.062617012448132,2.134521991701247,3.857922406639006,497.0906999999998,514.4198000000005,929.7593000000004,241
200801070746A,1.7429086419753095,1.3507261022927681,3.843985537918872,988.2292000000004,765.8616999999995,2179.5398000000005,567
200802270654A,7.068164073550207,2.5617660537482325,13.991022065063643,4997.191999999996,1811.1686000000004,9891.652599999996,707
200803031349A,18.356994993412364,20.677076416337265,21.843355204216074,13932.959199999985,15693.900999999983,16579.1066,759
200803031411A,12.925322826086964,5.480216576086959,15.6131921195652,4756.518800000003,2016.719700000001,5745.654699999994,368
200803130841A,2.273092887029288,-0.030209623430962684,6.076079079497905,543.2691999999998,-7.220100000000081,1452.1828999999993,239
200803142232A,8.33205069060774,4.12952430939226,13.372670856353585,6032.404700000004,2989.7755999999963,9681.813699999995,724
200803201410A,8.748154771784233,7.361190456431535,14.910784232365142,2108.3053,1774.0468999999998,3593.4989999999993,241
