,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
35,200710061238A,d10,preprocessed_40s_to_120s,2.5385380391061065e-06,3.5816989491145856e-06,8.02771693405961e-06,1.0872624577733908e-05,1.4707452381713375e-05,1.5190207365709513e-06,1.7143039398484348e-06,0.3885214880986232,0.4418137760397847,3.060118494110346e-06,9.45017075589676e-06,1.4707452381713375e-05,1.616662338209693e-06,7.208600992482543e-06
36,200710061238A,d15,preprocessed_10s_to_120s,1.1488511747791703e-05,1.1489201155427852e-05,2.8149300623779435e-05,3.6765812047177315e-05,7.059113560352041e-05,9.67911738065073e-06,7.77439082246147e-06,0.7441903480083795,0.6938693643744756,1.1488856451609777e-05,3.2457556335478375e-05,7.059113560352041e-05,8.7267541015561e-06,3.0816075623041166e-05
37,200710061238A,d15,preprocessed_20s_to_120s,5.483391699905217e-06,7.81453125107211e-06,1.907994041209081e-05,2.550145833102676e-05,4.903796473629769e-05,7.084756401811693e-06,5.6822343542498945e-06,0.43882637091019033,0.4565994344737767,6.648961475488664e-06,2.2290699371558785e-05,4.903796473629769e-05,6.383495378030794e-06,2.109028024034398e-05
38,200710061238A,d15,preprocessed_40s_to_120s,2.7321225845658233e-06,3.6456384132612743e-06,8.515068517227698e-06,1.1052862567446614e-05,1.472354537745387e-05,1.5565374358122993e-06,1.7527178243148064e-06,0.3963721341297221,0.45467652031655015,3.188880498913549e-06,9.783965542337155e-06,1.472354537745387e-05,1.6546276300635527e-06,7.337754762192032e-06
39,200710061238A,d5,preprocessed_10s_to_120s,1.1145099913649344e-05,1.1423344401583746e-05,2.672776297109655e-05,3.696144856451162e-05,7.818194653595528e-05,1.1645742990573698e-05,9.10497354960268e-06,0.864707324395495,0.7880803116633908,1.1284222157616544e-05,3.1844605767804084e-05,7.818194653595528e-05,1.0375358270088189e-05,3.292153318286602e-05
40,200710061238A,d5,preprocessed_20s_to_120s,5.408485522522085e-06,7.632035973098812e-06,1.8994507977602153e-05,2.748764805222386e-05,5.477955278522563e-05,7.303248107665031e-06,5.988200553106058e-06,0.4217236026333677,0.4481598425619579,6.520260747810449e-06,2.3241078014913008e-05,5.477955278522563e-05,6.6457243303855445e-06,2.279665396958366e-05
41,200710061238A,d5,preprocessed_40s_to_120s,2.365273616105461e-06,3.4034831966030164e-06,7.479251722170791e-06,1.066627869060185e-05,1.4984199731135572e-05,1.4487788396814897e-06,1.658295868032259e-06,0.38276880292319126,0.4313173327098564,2.884378406354239e-06,9.07276520638632e-06,1.4984199731135572e-05,1.5535373538568743e-06,7.123720174433251e-06
42,200712251404A,d-10,preprocessed_10s_to_120s,1.354179356340782e-05,1.4773524926307351e-05,5.317040542144626e-05,4.4106111800793776e-05,5.298144094430281e-05,2.5793062936994668e-05,1.939636458740593e-05,0.7757699864776944,0.7069874930698883,1.4157659244857585e-05,4.863825861112002e-05,5.298144094430281e-05,2.25947137622003e-05,3.4593018140620176e-05
43,200712251404A,d-10,preprocessed_20s_to_120s,9.421696096743996e-06,1.1737943873885554e-05,3.529267183133256e-05,3.206843077299584e-05,3.590906146736292e-05,1.1594353202285556e-05,9.606473203090987e-06,0.2805492746938318,0.37273457513677466,1.0579819985314774e-05,3.36805513021642e-05,3.590906146736292e-05,1.0600413202688272e-05,2.269246148938254e-05
44,200712251404A,d-10,preprocessed_40s_to_120s,3.3983342022690637e-06,5.986369450500837e-06,8.862553220323026e-06,1.4344117458563707e-05,1.852335318764173e-05,1.3876850418218413e-06,1.8211667164286093e-06,0.29287855031374393,0.348283916906986,4.692351826384951e-06,1.1603335339443367e-05,1.852335318764173e-05,1.6044258791252251e-06,9.105866558148817e-06
