gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200810010938A,3.289724311926606,1.2576625382262994,5.246989143730888,2151.4797000000003,822.5112999999998,3431.5309000000007,654
200810060830A,16.02381436285096,15.441330993520523,17.4524958963283,14838.052099999988,14298.672500000004,16161.011200000006,926
200810230921A,3.3691042313117068,2.103568265162201,7.285046262341327,2388.6949,1491.4299000000008,5165.0978000000005,709
200811100122A,15.768122313084124,11.649938551401863,19.45250724299062,13497.51270000001,9972.347399999995,16651.34619999997,856
200812021231A,5.931194233473984,5.560529957805903,12.1514576652602,4217.079100000003,3953.5367999999967,8639.686400000002,711
200812201029A,20.911617781402924,18.508002120717784,25.665144861337687,12818.821699999993,11345.405300000002,15732.733800000002,613
200812250320A,8.141301293661066,5.55554579560156,12.25346002587323,6293.225900000004,4294.436900000006,9471.924600000006,773
200901191729A,3.2334293819655526,2.1281914893617,6.243746504559271,3191.3948000000005,2100.5249999999983,6162.5778,987
200901262130A,6.145352428393517,6.440167995018674,12.29782067247822,4934.717999999994,5171.454899999995,9875.15000000001,803
200902280035A,3.4294411861614504,1.8821752883031315,5.956402306425046,2081.6708000000003,1142.4804000000008,3615.5362000000027,607
200903051549A,4.460133875890129,4.358714343845369,9.699695829094585,4384.311599999997,4284.616199999998,9534.800999999978,983
200903111258A,3.0877620481927743,2.7996969879518048,6.739725100401606,3075.4110000000032,2788.4981999999977,6712.7662,996
200903130907A,2.684742357642354,1.170577522477522,,2687.4270999999962,1171.7480999999993,,1001
200903261919A,4.352145486518171,0.4232800703399764,5.769379953106686,3712.3801,361.05789999999985,4921.281100000003,853
200903311529A,2.893996721311477,2.492198907103826,6.493669581056466,1588.8042000000007,1368.2172000000005,3565.0245999999997,549
200904040531A,13.51738564231737,11.199189546599495,24.56989319899245,10732.804199999991,8892.1565,19508.495200000005,794
200904171452A,5.764604495504494,3.907020579420582,,5770.369099999998,3910.9276000000023,,1001
200904200722A,4.029168649193549,3.0850344758064483,,3996.935300000001,3060.3541999999966,,992
200904210526A,6.740756746031744,5.043842857142861,,6794.682799999998,5084.193600000004,,1008
200904230211A,1.911114213709675,0.8241597782258071,,1895.8252999999977,817.5665000000007,,992
200905011257A,3.0456242031872502,1.267416035856573,,3057.806699999999,1272.4856999999993,,1004
200905291951A,4.904109863429443,5.323258573596356,8.731352807283757,3231.8084000000026,3508.0273999999986,5753.961499999996,659
200906050330A,17.203156391875748,14.667440262843488,21.02398888888889,14399.041900000002,12276.6475,17597.078700000002,837
200906140558A,12.134441753926703,10.773007853403143,16.788205235602106,9270.713500000002,8230.578000000001,12826.188800000009,764
200906191506A,1.3012625235404889,0.6639691148775895,1.6926532956685503,690.9703999999996,352.5676,898.7989000000002,531
200906222310A,4.490286469344606,4.395629069767441,,4247.810999999997,4158.2651,,946
200907040041A,3.866017507723994,2.582132955715757,5.046369309989703,3753.9029999999984,2507.2511,4900.024600000002,971
200907100049A,3.879777824709612,2.4219281942977853,5.141626610348468,3674.1496000000025,2293.5660000000025,4869.1204,947
200907100902A,7.200384117032387,7.485464681295712,13.034876802507833,6890.767599999995,7163.589699999996,12474.377099999996,957
200907111519A,4.126173118279568,2.83472870967742,7.1178218279569885,3837.3409999999985,2636.2977000000005,6619.574299999999,930
200907131805A,20.16569230769227,15.700417715617712,23.406213170163152,17302.163999999968,13470.958399999998,20082.530899999983,858
200907160629A,3.6975215991692587,1.2732718587746625,3.3310469366562816,3560.7132999999963,1226.1608,3207.7981999999993,963
200907262149A,3.733191062039952,3.0534899053627775,,3550.2646999999943,2903.8689000000013,,951
200907291452A,3.7845984098939938,1.9390680212014146,7.1475116607773925,2142.0827000000004,1097.5125000000007,4045.491600000004,566
200908031418A,2.501503556485357,1.4542108786610886,3.4705721757322205,2391.437400000001,1390.2256000000007,3317.867000000003,956
200908050018A,17.686051974522307,12.676017452229287,21.823796560509553,13883.55080000001,9950.67369999999,17131.6803,785
200908091055A,10.98382035490605,8.064149269311063,,10522.499899999995,7725.454999999998,,958
200908112143A,4.540075372124489,2.4612533152909344,8.350561299052782,3355.1156999999976,1818.8662000000004,6171.064800000006,739
200908122004A,6.09468064971752,5.472980932203391,10.69007005649718,4315.033900000004,3874.8705000000004,7568.569600000004,708
