netsta,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
1U.JGPD,4.000150000000001,2.6064227272727276,4.052927272727273,88.00330000000002,57.341300000000004,89.1644,22
1U.MDPD,3.6629000000000005,1.853169230769231,5.599503846153846,95.23540000000001,48.1824,145.5871,26
1U.PDBD,3.907369230769231,1.9408307692307694,3.7054923076923076,50.7958,25.230800000000002,48.1714,13
1U.PSRD,6.991722580645163,3.9574064516129033,4.489858064516129,216.74340000000007,122.67960000000001,139.1856,31
1U.SHRD,5.892597674418605,4.534613953488372,6.460774418604652,253.38170000000002,194.98839999999998,277.8133,43
1U.SMSD,1.6958692307692307,2.1819487179487176,7.090758974358975,66.13889999999999,85.09599999999999,276.5396,39
8B.374,3.1861285714285716,1.270392857142857,8.193635714285715,44.6058,17.7855,114.71090000000001,14
8B.375,3.9246,6.9985,7.2281,3.9246,6.9985,7.2281,1
8B.376,4.064115384615384,4.853846153846154,5.003753846153846,52.833499999999994,63.1,65.0488,13
8B.377,4.476911111111111,3.559966666666667,8.074022222222222,40.2922,32.0397,72.6662,9
8B.378,4.456522222222222,2.302744444444445,7.559772222222222,80.21739999999998,41.44940000000001,136.0759,18
8B.379,3.841366666666667,3.8872999999999998,6.019966666666668,11.5241,11.6619,18.059900000000003,3
8B.380,0.21918888888888866,0.21196666666666678,5.178000000000001,3.945399999999996,3.815400000000002,93.20400000000001,18
8B.381,2.2963944444444446,1.2917611111111111,9.59136666666667,41.335100000000004,23.2517,172.64460000000005,18
8B.382,3.7178944444444446,1.0854555555555556,4.890366666666667,66.9221,19.5382,88.0266,18
8B.383,4.866677777777777,5.118461111111111,3.7399944444444446,87.6002,92.1323,67.3199,18
8B.384,2.8540444444444444,2.9388611111111107,7.023011111111111,51.3728,52.89949999999999,126.4142,18
8B.385,1.3575222222222219,0.11684444444444402,9.148138888888889,24.435399999999994,2.103199999999992,164.6665,18
8B.386,4.393558823529411,2.1978294117647055,8.754317647058825,74.6905,37.363099999999996,148.82340000000002,17
8B.387,1.9727625,1.77085625,6.393675,31.5642,28.3337,102.2988,16
8B.388,4.879257142857142,4.04115,8.884471428571429,68.30959999999999,56.5761,124.3826,14
8B.389,2.735633333333334,1.4939666666666664,8.488577777777778,49.241400000000006,26.891399999999997,152.7944,18
8B.390,3.420094444444445,1.086022222222222,5.052266666666666,61.56170000000001,19.548399999999997,90.9408,18
8B.391,4.167207142857142,2.0686,6.7141142857142855,58.3409,28.9604,93.99759999999999,14
8B.392,4.4398833333333325,5.348805555555556,4.68935,79.91789999999999,96.27850000000001,84.4083,18
8B.393,4.2249500000000015,1.3550111111111114,6.502200000000001,76.04910000000002,24.390200000000004,117.03960000000002,18
8B.394,4.604083333333332,4.583766666666667,7.275433333333333,82.87349999999998,82.50780000000002,130.9578,18
8B.395,4.7350111111111115,1.364622222222222,7.67765,85.23020000000001,24.563199999999995,138.1977,18
8B.396,4.420871428571429,3.0900642857142855,3.880085714285715,61.8922,43.2609,54.321200000000005,14
8B.397,3.5460923076923074,2.5032153846153844,4.831576923076923,46.099199999999996,32.541799999999995,62.810500000000005,13
8B.398,1.0563153846153845,1.3970307692307693,5.535376923076924,13.732099999999999,18.1614,71.9599,13
8B.399,4.0949599999999995,2.7153400000000003,6.73866,20.4748,13.5767,33.6933,5
8B.400,3.362783333333334,2.6883333333333335,9.05016111111111,60.53010000000001,48.39,162.9029,18
8B.401,7.10725,5.401094444444444,6.6324555555555555,127.9305,97.2197,119.3842,18
8B.402,3.1247416666666665,3.7456166666666664,0.98945,37.4969,44.947399999999995,11.8734,12
8B.403,3.1763999999999997,1.3427999999999998,7.597358333333332,38.1168,16.113599999999998,91.16829999999999,12
8B.404,2.5246083333333336,3.1590916666666664,2.98575,30.2953,37.909099999999995,35.829,12
8B.405,1.7431722222222221,0.6097388888888888,6.108738888888889,31.3771,10.975299999999999,109.9573,18
8B.406,2.392438888888889,1.9835666666666663,4.841405555555556,43.063900000000004,35.70419999999999,87.1453,18
8B.407,3.494077777777778,3.2052055555555556,9.128638888888888,62.89340000000001,57.6937,164.3155,18
8B.408,3.4533555555555555,2.7329,5.5142500000000005,62.1604,49.1922,99.2565,18
8B.409,3.198816666666666,1.2303499999999998,5.897766666666666,57.57869999999999,22.146299999999997,106.15979999999999,18
8B.410,3.1146499999999993,2.2268833333333333,6.989216666666667,56.06369999999999,40.0839,125.8059,18
8B.411,4.672694444444445,3.4104666666666663,7.882300000000001,84.1085,61.3884,141.8814,18
8B.412,4.476883333333333,3.314055555555555,4.101105555555556,80.5839,59.65299999999999,73.8199,18
8B.413,1.257335294117647,1.0178058823529412,2.728517647058823,21.374699999999997,17.3027,46.38479999999999,17
8B.414,3.5885470588235293,3.6644058823529413,8.598258823529411,61.0053,62.294900000000005,146.1704,17
8B.415,3.7483777777777783,4.975038888888889,3.6801,67.47080000000001,89.5507,66.2418,18
8B.416,4.472433333333334,2.1900611111111115,8.465061111111112,80.50380000000001,39.4211,152.3711,18
8B.417,1.9399923076923076,0.35275384615384603,8.45566153846154,25.2199,4.585799999999998,109.92360000000001,13
8B.418,4.400399999999999,4.5420923076923065,8.2702,57.2052,59.04719999999999,107.51260000000002,13
8B.419,6.9876611111111115,6.217422222222222,9.235211111111113,125.7779,111.91359999999999,166.23380000000003,18
8B.420,3.4248000000000003,0.7235666666666668,5.69346111111111,61.64640000000001,13.024200000000002,102.48229999999998,18
8B.421,1.1046764705882353,1.3180235294117646,6.533452941176471,18.7795,22.406399999999998,111.06869999999999,17
8B.422,3.498722222222222,3.587694444444444,9.98311111111111,62.97699999999999,64.57849999999999,179.696,18
8B.423,0.996738888888889,-0.8599833333333333,8.174844444444446,17.941300000000002,-15.4797,147.14720000000003,18
8B.424,1.3149900000000003,1.47958,0.3557900000000001,13.149900000000002,14.795799999999998,3.557900000000001,10
8B.425,2.2628499999999994,2.6213833333333327,9.153911111111112,40.73129999999999,47.18489999999999,164.77040000000002,18
8B.426,4.507038888888889,3.441705555555556,3.7938944444444442,81.1267,61.950700000000005,68.2901,18
8B.427,2.8971111111111107,3.591272222222223,6.974088888888889,52.147999999999996,64.64290000000001,125.53359999999999,18
8B.428,4.58815,5.291477777777779,8.507022222222222,82.5867,95.24660000000002,153.1264,18
8B.429,6.727661111111112,5.563205555555556,9.774450000000002,121.09790000000001,100.13770000000001,175.94010000000003,18
8B.430,4.429449999999999,3.183227777777778,7.0245,79.7301,57.298100000000005,126.441,18
8B.431,5.2823111111111105,2.219383333333333,10.561288888888889,95.0816,39.948899999999995,190.10320000000002,18
8B.432,1.0324333333333333,2.1296833333333334,3.5732444444444442,18.5838,38.3343,64.3184,18
8B.433,2.001988888888889,1.9953666666666667,4.038488888888889,36.0358,35.9166,72.6928,18
8B.434,2.8601315789473682,1.0134315789473682,8.894747368421054,54.342499999999994,19.255199999999995,169.00020000000004,19
8B.435,2.2197294117647064,2.033894117647059,5.0667,37.735400000000006,34.5762,86.1339,17
8B.436,4.945542105263158,2.7396736842105263,7.821615789473685,93.9653,52.0538,148.6107,19
8B.437,6.371015789473685,5.017542105263158,6.914352631578949,121.04930000000002,95.33330000000001,131.37270000000004,19
AD.DLV,5.9174640625000015,2.6516187499999995,14.468398437499998,378.7177000000001,169.70359999999997,925.9774999999998,64
AD.SLV,12.272415384615385,11.203966153846153,17.97027846153846,797.7070000000001,728.2578,1168.0681,65
AD.SZP,6.892542028985507,4.321013043478258,15.176033333333335,475.5854,298.14989999999983,1047.1463,69
AH.ANQ,5.84185491606715,5.226107194244606,6.128644844124693,2436.0535000000013,2179.2867000000006,2555.644899999997,417
AH.BAS,6.203820714285716,3.963293571428573,5.164212380952375,2605.604700000001,1664.5833000000007,2168.9691999999973,420
AH.BEB,5.094052631578945,3.554512585812355,7.123753546910753,2226.100999999999,1553.3219999999992,3113.080299999999,437
AH.BZH,2.980954761904762,0.5429500000000002,2.7344761904761907,125.2001,22.803900000000006,114.84800000000001,42
