netsta,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
1U.JGPD,4.235627272727272,2.9897636363636364,4.683704545454545,93.18379999999999,65.7748,103.0415,22
1U.MDPD,3.9953576923076928,2.193926923076923,7.442619230769231,103.87930000000001,57.0421,193.5081,26
1U.PDBD,3.962507692307693,2.1521384615384616,4.076376923076922,51.512600000000006,27.977800000000002,52.99289999999999,13
1U.PSRD,7.132790322580645,4.07748064516129,4.9731870967741925,221.1165,126.4019,154.16879999999998,31
1U.SHRD,5.929511627906978,4.5582604651162795,7.985618604651164,254.96900000000005,196.0052,343.38160000000005,43
1U.SMSD,1.852674358974359,2.5451435897435895,8.840789743589745,72.2543,99.2606,344.79080000000005,39
8B.374,3.2991857142857137,1.6299214285714287,9.877014285714285,46.188599999999994,22.818900000000003,138.2782,14
8B.375,3.9666,7.1513,10.03,3.9666,7.1513,10.03,1
8B.376,4.159576923076923,4.958253846153846,5.66106923076923,54.07449999999999,64.45729999999999,73.59389999999999,13
8B.377,4.534966666666667,3.694844444444444,8.778166666666667,40.8147,33.2536,79.0035,9
8B.378,4.493138888888889,2.4003666666666668,9.0667,80.8765,43.2066,163.2006,18
8B.379,4.067066666666666,4.118166666666666,7.4559,12.2012,12.3545,22.3677,3
8B.380,0.38467222222222186,0.3691388888888889,6.530349999999999,6.924099999999994,6.644500000000001,117.54629999999999,18
8B.381,2.3647888888888886,1.4427944444444447,11.073055555555555,42.566199999999995,25.970300000000005,199.315,18
8B.382,3.836294444444444,1.3111555555555556,6.340344444444444,69.0533,23.6008,114.1262,18
8B.383,5.063166666666666,5.171116666666666,4.1822944444444445,91.13699999999999,93.0801,75.2813,18
8B.384,3.17675,3.1149,7.748722222222223,57.1815,56.0682,139.477,18
8B.385,1.4207333333333334,0.1314499999999996,9.282927777777779,25.5732,2.3660999999999928,167.0927,18
8B.386,4.450723529411765,2.2572058823529417,10.068511764705883,75.6623,38.37250000000001,171.1647,17
8B.387,1.99688125,1.8157687499999995,7.570662499999999,31.9501,29.052299999999992,121.13059999999999,16
8B.388,4.954607142857143,4.100421428571428,9.928335714285714,69.3645,57.405899999999995,138.9967,14
8B.389,2.8312388888888886,1.6082611111111111,10.132944444444446,50.96229999999999,28.9487,182.39300000000003,18
8B.390,3.443394444444444,1.1237166666666665,5.590138888888888,61.98109999999999,20.226899999999997,100.62249999999999,18
8B.391,4.2495714285714286,2.1282,7.0835357142857145,59.494,29.7948,99.1695,14
8B.392,4.558622222222223,5.5600499999999995,5.4132388888888885,82.05520000000001,100.08089999999999,97.4383,18
8B.393,4.335811111111111,1.46645,6.886216666666666,78.0446,26.3961,123.95189999999998,18
8B.394,4.802144444444445,4.845438888888889,8.415038888888889,86.43860000000001,87.21790000000001,151.4707,18
8B.395,4.745994444444444,1.381177777777778,8.187822222222222,85.4279,24.861200000000004,147.3808,18
8B.396,4.689585714285714,3.1698071428571426,4.473285714285715,65.6542,44.3773,62.626000000000005,14
8B.397,3.5905153846153843,2.348923076923077,5.265461538461539,46.6767,30.536,68.45100000000001,13
8B.398,1.203523076923077,1.7491538461538458,7.072523076923076,15.645800000000001,22.738999999999997,91.94279999999999,13
8B.399,4.27564,3.3401799999999993,8.53446,21.3782,16.700899999999997,42.6723,5
8B.400,3.562111111111111,3.0270944444444448,10.427261111111111,64.118,54.487700000000004,187.6907,18
8B.401,7.183327777777778,5.46915,8.050666666666666,129.2999,98.4447,144.912,18
8B.402,3.2984333333333336,4.042816666666667,1.0332916666666667,39.5812,48.5138,12.399500000000002,12
8B.403,3.3175833333333333,1.5489416666666667,7.666941666666667,39.811,18.5873,92.00330000000001,12
8B.404,2.5298833333333337,3.360008333333333,2.9981166666666668,30.358600000000003,40.3201,35.9774,12
8B.405,1.7593055555555557,0.6617999999999999,7.894144444444444,31.667500000000004,11.9124,142.09459999999999,18
8B.406,2.4781222222222223,2.1323111111111106,5.985488888888891,44.6062,38.38159999999999,107.73880000000003,18
8B.407,3.8982833333333327,3.568088888888888,11.0871,70.16909999999999,64.22559999999999,199.5678,18
8B.408,3.593066666666667,2.9664166666666665,6.98918888888889,64.6752,53.3955,125.80540000000002,18
8B.409,3.318327777777778,1.5525222222222226,7.246172222222223,59.72990000000001,27.945400000000006,130.43110000000001,18
8B.410,3.1994500000000006,2.2930833333333336,8.377833333333335,57.59010000000001,41.2755,150.80100000000002,18
8B.411,4.776294444444444,3.61825,8.23355,85.9733,65.1285,148.20389999999998,18
8B.412,4.852144444444445,3.741694444444444,5.04911111111111,87.3386,67.3505,90.88399999999999,18
8B.413,1.3362,1.1255823529411764,3.2934588235294115,22.715400000000002,19.1349,55.9888,17
8B.414,3.9989294117647045,4.16425294117647,9.894400000000001,67.98179999999998,70.7923,168.2048,17
8B.415,4.3377944444444445,5.840188888888889,5.139272222222222,78.0803,105.1234,92.5069,18
8B.416,5.073127777777778,2.814605555555555,10.3724,91.3163,50.66289999999999,186.7032,18
8B.417,2.3532076923076923,0.7935692307692308,10.850992307692309,30.591700000000003,10.3164,141.0629,13
8B.418,4.568176923076924,4.736476923076923,9.999792307692307,59.386300000000006,61.574200000000005,129.9973,13
8B.419,7.322583333333333,6.562955555555555,11.527455555555555,131.8065,118.13319999999999,207.4942,18
8B.420,3.5017277777777776,0.8256166666666664,7.209444444444443,63.031099999999995,14.861099999999995,129.76999999999998,18
8B.421,1.1786058823529413,1.502152941176471,8.0191,20.0363,25.536600000000007,136.3247,17
8B.422,3.6062722222222217,3.7553,11.403633333333335,64.9129,67.5954,205.26540000000003,18
8B.423,1.6079388888888893,-0.20850555555555544,9.855522222222223,28.942900000000005,-3.753099999999998,177.3994,18
8B.424,1.3769500000000001,1.6164200000000002,0.38570000000000004,13.7695,16.1642,3.857,10
8B.425,2.4879111111111114,2.948955555555555,10.09395,44.7824,53.081199999999995,181.69109999999998,18
8B.426,4.632794444444445,3.6700444444444447,4.934116666666667,83.39030000000001,66.0608,88.81410000000001,18
8B.427,3.6923777777777778,4.4299333333333335,8.855044444444445,66.4628,79.7388,159.3908,18
8B.428,4.909344444444445,5.876016666666666,10.571055555555557,88.3682,105.76829999999998,190.27900000000002,18
8B.429,7.539627777777778,6.302911111111111,11.261505555555551,135.7133,113.4524,202.70709999999994,18
8B.430,4.473216666666667,3.2387277777777776,7.436183333333334,80.5179,58.2971,133.8513,18
8B.431,5.7816111111111095,2.6600666666666672,12.37137222222222,104.06899999999997,47.88120000000001,222.68469999999996,18
8B.432,1.4294944444444446,2.430311111111111,5.739827777777777,25.730900000000002,43.745599999999996,103.31689999999999,18
8B.433,2.1797999999999997,2.216488888888888,4.899755555555556,39.236399999999996,39.896799999999985,88.19560000000001,18
8B.434,3.2227736842105266,1.313221052631579,10.65751052631579,61.2327,24.951200000000004,202.4927,19
8B.435,2.6367705882352945,2.4818823529411764,6.653447058823531,44.825100000000006,42.192,113.10860000000002,17
8B.436,5.766984210526315,3.8332263157894735,9.938163157894737,109.5727,72.8313,188.8251,19
8B.437,7.153884210526317,5.925573684210526,8.628205263157897,135.92380000000003,112.5859,163.93590000000003,19
AD.DLV,6.945006250000001,3.4235953125,14.895090625000002,444.4804000000001,219.1101,953.2858000000001,64
AD.SLV,14.147681538461542,12.587458461538464,18.42534,919.5993000000003,818.1848000000002,1197.6471,65
AD.SZP,9.60079565217392,6.0156927536231874,16.80879855072463,662.4549000000005,415.08279999999996,1159.8070999999995,69
AH.ANQ,7.22554052757794,6.378050599520382,7.1206733812949565,3013.050400000001,2659.647099999999,2969.320799999997,417
AH.BAS,7.253324999999997,4.943079047619048,5.968470714285716,3046.3964999999985,2076.0932000000003,2506.7577000000006,420
AH.BEB,5.896724485125861,4.272314416475972,8.238782151029742,2576.868600000001,1867.0013999999996,3600.3477999999973,437
AH.BZH,3.0249333333333324,0.5708119047619046,2.748104761904762,127.04719999999996,23.974099999999993,115.4204,42
AH.BZY,3.2501644927536235,1.9478163043478258,3.3513507246376806,897.0454000000001,537.5972999999999,924.9727999999998,276
AH.CHZ,6.513694594594588,4.823271498771498,6.9218538083538155,2651.073699999997,1963.0714999999998,2817.194500000003,407
AH.DYN,8.912185985748213,6.015015201900232,12.95441163895487,3752.0302999999976,2532.3213999999975,5453.8073,421
AH.FYT,3.9782943089430907,1.3217024390243906,2.350213008130082,489.33020000000016,162.56940000000003,289.0762000000001,123
AH.FZL,7.603459863945581,5.9008376417233555,8.188102040816325,3353.125800000001,2602.2693999999997,3610.952999999999,441
AH.HBE,8.90177139479905,7.231153427895981,9.55459007092199,3765.4492999999984,3058.7779,4041.591600000001,423
AH.HEF,6.701833333333331,5.0537806763285005,9.257435990338172,2774.5589999999993,2092.2651999999994,3832.578500000003,414
AH.HNA,7.151936976744187,5.461765581395351,8.509223255813955,3075.3329000000003,2348.559200000001,3658.966000000001,430
AH.HSH,4.9577847727272735,3.6625445454545447,7.274557045454542,2181.4253000000003,1611.5195999999996,3200.8050999999987,440
AH.HUS,6.472991951219513,4.619910975609758,7.363050487804885,2653.9267000000004,1894.163500000001,3018.8507000000027,410
AH.JAS,5.620282871536525,4.423851385390426,6.309098488664988,2231.2523000000006,1756.2689999999993,2504.7121,397
AH.JIX,6.698433252427182,5.376084951456313,7.604292233009706,2759.754499999999,2214.947000000001,3132.968399999999,412
AH.JZA,7.183841917808221,5.368865205479453,10.771337260273974,2622.1023000000005,1959.6358000000002,3931.5381000000007,365
AH.LAN,7.9335885204081595,5.260959438775508,12.780634438775518,3109.9666999999986,2062.296099999999,5010.008700000003,392
AH.LNA,3.49410295202952,2.2250376383763837,3.2715295202952004,946.9019,602.9852,886.5844999999993,271
AH.MAS,6.3273011655011695,4.9608410256410265,6.775214685314687,2714.4122000000016,2128.2008000000005,2906.5671000000007,429
AH.MCG,7.990191693290732,5.856812140575082,11.666191693290733,2500.929999999999,1833.1822000000006,3651.5179999999996,313
AH.MCG1,7.284157142857142,5.158642857142858,12.504478571428573,101.97819999999999,72.22100000000002,175.0627,14
AH.SCH,5.799977215189873,4.314089367088605,10.773605316455695,2290.991,1704.065299999999,4255.5741,395
AH.SIX,8.517640401785716,5.709686830357145,7.816323660714276,3815.9029000000005,2557.9397000000013,3501.7129999999956,448
AH.SJH,2.992708695652175,1.627104710144926,3.286528985507245,825.9876000000003,449.0808999999996,907.0819999999995,276
AH.TOL,7.613298368298364,5.2427960372960385,7.798108158508152,3266.104999999998,2249.1595000000007,3345.3883999999975,429
BJ.BBS,4.729877777777777,3.655532249322494,5.04471544715447,1745.3248999999998,1348.8914000000004,1861.4999999999995,369
BJ.CIQ,3.9495549618320602,2.732720610687024,3.3782648854961836,517.3916999999999,357.9864000000002,442.5527000000001,131
BJ.DAX,1.0936058823529413,1.2747588235294116,3.473105882352942,18.591300000000004,21.670899999999996,59.042800000000014,17
BJ.DHC,7.844763741339491,6.168363972286378,7.308923787528877,3396.7826999999993,2670.9016000000015,3164.7640000000038,433
BJ.DSQ,2.543558823529412,1.0997470588235296,3.049252941176471,43.240500000000004,18.695700000000002,51.837300000000006,17
BJ.FHY,6.094558333333334,5.557410000000001,5.592843333333332,731.3470000000001,666.8892000000001,671.1411999999998,120
BJ.JIZ,2.601857377049181,1.090494262295082,3.1233409836065573,317.42660000000006,133.0403,381.0476,122
BJ.LBG,2.5073705882352937,2.429329411764706,3.979429411764705,42.625299999999996,41.2986,67.65029999999999,17
BJ.LBP,7.670830339805828,6.118698786407766,12.584416504854364,3160.382100000001,2520.9038999999993,5184.779599999998,412
BJ.LLM,9.758931590909093,8.00838590909092,14.651491363636362,4293.929900000001,3523.6898000000047,6446.656199999999,440
BJ.LQS,2.4942882352941176,3.0814882352941178,3.4877647058823524,42.4029,52.3853,59.291999999999994,17
BJ.MAF,3.872603278688524,3.1000918032786893,1.9720278688524588,472.45759999999996,378.2112000000001,240.58739999999997,122
BJ.MDY,5.077246666666667,3.24572,5.675473333333332,76.15870000000001,48.6858,85.13209999999998,15
BJ.MIY,9.265558064516132,7.2514841013824896,11.835638248847934,4021.252200000001,3147.1441000000004,5136.667000000003,434
