gcmtid,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
200708010815A,2.222865898617512,0.18834976958525348,3.1126970046082945,964.7238000000002,81.74380000000001,1350.9104999999997,434
200708020237A,17.309834775086518,13.717302076124566,23.401526816609007,10005.084500000008,7928.6006,13526.082500000006,578
200708220726A,4.245818320610686,1.0954366412213734,9.070699236641223,1112.4044,287.00439999999986,2376.5232000000005,262
200709031614A,12.950116250000011,7.674901666666667,19.41534083333333,3108.027900000003,1841.9764,4659.681799999999,240
200709061751A,14.3886076142132,8.187096615905235,20.299702199661585,8503.6671,4838.574099999993,11997.123999999996,591
200710061238A,11.396626917510854,9.006056005788716,18.113225036179447,7875.0692,6223.184700000003,12516.238499999998,691
200710081710A,6.447034032983508,4.538635832083954,13.447472113943032,4300.1717,3027.270099999997,8969.463900000002,667
200710251350A,11.895172571428567,8.649395428571431,20.779409714285705,2081.6551999999992,1513.6442000000004,3636.3966999999984,175
200711270427A,7.579863059163048,4.107286002885997,15.952547474747456,5252.845099999992,2846.3491999999965,11055.115399999988,693
200712070047A,5.976530952380957,1.913217261904761,12.184927083333337,2008.1144000000015,642.8409999999997,4094.1355000000012,336
200712251404A,9.25193176470588,6.216406764705885,15.419079411764711,6291.313599999999,4227.156600000002,10484.974000000004,680
200712271752A,3.701601244813277,2.9953796680497917,8.647020331950209,892.0858999999997,721.8864999999998,2083.9319000000005,241
200801070746A,3.882347266313929,3.482902998236333,9.376043033509697,2201.2908999999977,1974.8060000000007,5316.216399999998,567
200802270654A,12.089957790368265,7.588634277620393,18.579744050991494,8535.510199999995,5357.575799999998,13117.299299999993,706
200803031349A,23.32749815546771,24.522500922266143,27.851639262187103,17705.57109999999,18612.578200000004,21139.39420000001,759
200803031411A,18.210568478260868,10.141195108695644,20.474467391304355,6701.489199999999,3731.9597999999974,7534.604000000002,368
200803130841A,4.6102338912133884,1.9336564853556475,11.884177405857738,1101.8458999999998,462.14389999999975,2840.318399999999,239
200803142232A,12.576337292817662,8.464817817679556,17.063624585635356,9105.268199999988,6128.528099999999,12354.064199999999,724
200803201410A,12.759070954356845,9.621371369294614,18.2023,3074.9361,2318.750500000002,4386.7543000000005,241
200803262006A,7.166886092715234,7.081249006622517,13.740781456953641,1082.1998000000003,1069.2686,2074.8579999999997,151
200804161919A,5.00250078125,0.0965621093749997,9.188223828125006,1280.6402,24.719899999999924,2352.1853000000015,256
200804231828A,13.914396962332912,12.414596962332933,19.39930425273391,11451.548699999987,10217.213300000003,15965.627400000008,823
200805071602A,16.238490258939592,15.417980517879167,19.615394944512932,13169.41560000001,12503.982200000004,15908.085299999988,811
200805071616A,6.2156760580411055,5.247746674727926,7.15446856106408,5140.364099999994,4339.886499999995,5916.7454999999945,827
200805071645A,16.30764071428571,13.228861666666674,18.9264588095238,6849.209099999998,5556.121900000003,7949.112699999996,420
200805092151A,24.434578857142867,17.581086857142864,26.998206285714286,4276.051300000002,3076.6902000000014,4724.6861,175
200805121111A,7.675862758620691,5.6457481034482715,6.919300344827588,4452.000400000001,3274.5338999999976,4013.194200000001,580
200805191008A,2.4302188617886156,-0.717574796747967,2.693584227642278,1494.5845999999985,-441.3084999999997,1656.554300000001,615
200805202042A,4.8396798701298716,6.934089870129874,8.71608272727272,3726.553500000001,5339.249200000003,6711.383699999995,770
200805250821A,10.513515510718783,10.67819356872636,14.926699243379552,8337.217799999995,8467.807500000004,11836.872499999985,793
200806010157A,16.145359584859563,9.69774041514042,21.066047619047623,13223.049499999981,7942.449400000004,17253.093000000004,819
200806041703A,3.5829531958762892,1.435673402061856,7.126093814432987,1737.7323000000004,696.3016000000001,3456.1554999999985,485
200806132343A,24.70449600484264,16.661540920096865,26.022834866828084,20405.91370000002,13762.432800000011,21494.861599999997,826
200806252337A,6.038065151515151,2.610260984848484,12.800373106060603,1594.0492,689.1088999999997,3379.298499999999,264
200806271140A,21.825763141993985,16.86647885196374,23.323008459214513,7224.327600000009,5582.804499999998,7719.915800000003,331
200806281254A,14.425008870967757,14.424147580645167,20.05861075268819,10732.20660000001,10731.565800000004,14923.606400000011,744
200806292053A,4.717966548042706,0.7916818505338076,9.414916725978646,1325.7486000000004,222.46259999999992,2645.5915999999997,281
200807080742A,8.781837329700268,5.269033514986377,15.708284604904646,6445.868599999997,3867.470600000001,11529.880900000011,734
200807131458A,20.98101613756611,17.519902645502622,25.068890343915296,15861.64819999998,13245.046399999983,18952.081099999963,756
200807190239A,15.733265402843609,12.248395260663505,18.294476303317527,6639.438000000003,5168.822799999999,7720.268999999996,422
200807202130A,2.8150516891891884,-2.3428442567567584,7.247591554054051,833.2552999999998,-693.4819000000005,2145.287099999999,296
200807211130A,10.610800408163266,8.143682312925183,16.331179183673473,7798.938300000001,5985.60650000001,12003.416700000003,735
200807231526A,16.920463713080174,10.030374120956397,18.349841631504912,12030.449700000005,7131.595999999998,13046.737399999993,711
200808011035A,5.163450519031145,2.576284775086506,10.335526643598612,1492.237200000001,744.5463000000002,2986.967199999999,289
200808050949A,13.930041075794614,9.535652567237156,18.488337775061115,11394.773599999995,7800.163799999993,15123.460299999993,818
200808100820A,16.287184986595175,16.48332439678283,24.94437828418227,12150.24,12296.559999999992,18608.506199999974,746
200808151025A,14.590862635869586,13.038612228260881,21.31043532608695,10738.874900000015,9596.418600000008,15684.480399999995,736
200808160401A,7.040967758846665,8.872917693315854,14.231752424639565,5372.258400000005,6770.036199999996,10858.827099999988,763
200808211224A,12.139712983770284,12.416963670411985,16.009234332084883,9723.910099999997,9945.9879,12823.39669999999,801
200808270135A,13.41651894510226,11.761304520990329,16.523738428417648,12463.9461,10926.251900000016,15350.552999999996,929
200808300830A,9.253521468926555,10.080350508474575,13.072614802259901,8189.366500000001,8921.1102,11569.264100000013,885
200809110020A,16.140862208588928,14.440589693251543,17.096599018404913,13154.802699999977,11769.080600000007,13933.728200000003,815
200809220731A,3.0184397217928876,1.835365996908811,7.591842658423499,1952.9304999999981,1187.4818000000007,4911.922200000004,647
200810010938A,2.560957033639147,0.7993033639143726,4.668623088685013,1674.8659000000023,522.7443999999997,3053.2794999999987,654
200810060830A,14.429653887688985,14.038370626349899,17.057808855291576,13361.8595,12999.531200000007,15795.531,926
200810230921A,3.2070589562764398,2.0114661495063486,7.585177715091678,2273.804799999996,1426.1295000000011,5377.891,709
200811100122A,12.65467990654205,9.802804088785036,16.656837850467287,10832.405999999995,8391.200299999991,14258.2532,856
200812021231A,5.367125738396635,5.184180872011255,11.651586779184257,3816.0264000000075,3685.952600000002,8284.278200000006,711
200812201029A,17.68455579119088,15.601453670473083,22.78265513866234,10840.63270000001,9563.6911,13965.767600000014,613
200812250320A,7.443964941785249,5.356254721862875,12.146980595084086,5754.1848999999975,4140.384900000003,9389.615999999998,773
200901191729A,2.783120871327259,1.8115303951367787,5.543534853090174,2746.9403000000048,1787.9805000000006,5471.468900000002,987
200901262130A,4.89423524283935,4.462220921544207,10.566208717310078,3930.070899999998,3583.1633999999976,8484.665599999993,803
200902280035A,3.0550041186161434,1.3795672158154875,4.854245304777592,1854.3874999999991,837.3973000000009,2946.5268999999985,607
200903051549A,3.381764598168871,3.1725966429298067,6.8843638860630865,3324.2746,3118.6625,6767.329700000014,983
200903111258A,2.712580823293176,2.360939156626506,5.465166365461847,2701.7305000000033,2351.4954000000002,5443.3057,996
200903130907A,2.6621506000000004,1.203133,2.8619244999999998,2662.1506000000004,1203.133,2861.9244999999996,1000
200903261919A,4.27011078546307,0.10157338804220462,6.286334466588508,3642.404499999999,86.64210000000054,5362.243299999997,853
200903311529A,2.5619102003643013,2.295939526411659,6.295418397085614,1406.4887000000015,1260.4708000000007,3456.184700000002,549
200904040531A,13.0909540302267,10.848938790931985,23.810102896725425,10394.217499999999,8614.057399999996,18905.221699999987,794
200904171452A,5.331075575575574,3.5092264264264244,11.444935335335344,5325.744499999999,3505.717199999998,11433.49040000001,999
200904200722A,3.166976868686868,2.347156060606059,7.295724444444459,3135.307099999999,2323.6844999999985,7222.767200000014,990
200904210526A,6.274413717693839,4.494377137176942,13.183337574552688,6312.060200000002,4521.343400000003,13262.437600000005,1006
200904230211A,1.895420202020202,0.8031219191919206,3.6658334343434347,1876.466,795.0907000000013,3629.1751000000004,990
200905011257A,2.779642173479561,1.124659920239281,3.2870764705882367,2787.9810999999995,1128.033899999999,3296.9377000000013,1003
200905291951A,4.374006980273139,5.106403338391504,8.041342488619115,2882.4705999999983,3365.1198000000013,5299.244699999997,659
200906050330A,15.63773823178016,13.63207060931899,19.861749462365584,13088.786899999994,11410.043099999995,16624.284299999992,837
200906140558A,12.112473952879588,10.709144895287963,17.342777879581135,9253.930100000005,8181.786700000004,13249.882299999988,764
200906191506A,1.5455738229755192,0.7268723163841813,2.3148427495291894,820.6997000000007,385.9692000000002,1229.1814999999997,531
200906222310A,3.3050838095238086,3.1882210582010595,5.269913333333327,3123.304199999999,3012.8689000000013,4980.068099999994,945
200907040041A,3.7626222451081333,2.4455510813594263,4.948387744593211,3653.5061999999975,2374.630100000003,4804.884500000008,971
200907100049A,3.7962632523759225,2.3666076029567025,5.0503582893347385,3595.0612999999985,2241.1773999999973,4782.689299999997,947
200907100902A,5.744587669801457,5.185686415882968,10.30671577847441,5497.570399999994,4962.7019,9863.527000000011,957
200907111519A,3.451996236559143,2.323733440860216,5.752690860215055,3210.3565000000026,2161.0721000000012,5350.002500000001,930
200907131805A,15.712356993006994,12.98416515151515,19.536239393939404,13481.2023,11140.4137,16762.09340000001,858
200907160629A,3.6079914849428856,1.3189286604361374,3.164717133956382,3474.495799999999,1270.1283000000003,3047.622599999996,963
200907262149A,3.3128202105263154,2.540843789473684,5.669926210526323,3147.1791999999996,2413.8016,5386.4299000000065,950
200907291452A,3.5747549469964683,1.609708833922261,7.294219964664308,2023.311300000001,911.0951999999997,4128.5284999999985,566
200908031418A,2.435974267782427,1.4054638075313806,3.5347538702928913,2328.7914000000005,1343.6233999999997,3379.2247000000043,956
200908050018A,14.571232866242037,10.489101019108288,19.0026633121019,11438.4178,8233.944300000006,14917.090699999992,785
200908091055A,9.694769696969699,7.046923928944612,10.509630512016722,9277.894600000001,6743.906199999994,10057.716400000003,957
200908112143A,4.377217320703654,2.2568267929634667,8.739851556156976,3234.7636,1667.795000000002,6458.750300000005,739
