,gcmtid,depth,process_flag,p_z,p_r,s_z,s_r,s_t,surf_z,surf_r,surf_z_mt,surf_r_mt,p_all,sv_all,sh_all,ray_all,theall
15,200708020237A,d15,preprocessed_10s_to_120s,2.2506399642387848e-05,2.246479104368215e-05,0.00010093987105131726,8.991393879845146e-05,7.774948738933485e-05,6.492281844374664e-05,4.66201679526244e-05,0.6420210595262464,0.5014434015757518,2.2485595343035e-05,9.542690492488437e-05,7.774948738933485e-05,5.577149319818552e-05,6.285837021385993e-05
16,200708020237A,d15,preprocessed_20s_to_120s,1.689312963139107e-05,2.1434551351746985e-05,6.223420638458617e-05,7.384850192722399e-05,5.490897048181879e-05,2.271069568273852e-05,1.823499873431137e-05,0.4777140445396116,0.4901609118119648,1.916384049156903e-05,6.804135415590508e-05,5.490897048181879e-05,2.0472847208524943e-05,4.064675308445446e-05
17,200708020237A,d15,preprocessed_40s_to_120s,1.1709329729525538e-05,1.2730024647379813e-05,3.806273020783715e-05,4.0915234760256947e-05,2.7272251034790847e-05,7.008879132370745e-06,6.467422990736099e-06,0.5857236209852623,0.5853915509058016,1.2219677188452675e-05,3.948898248404705e-05,2.7272251034790847e-05,6.738151061553422e-06,2.1429765442211e-05
18,200708020237A,d5,preprocessed_10s_to_120s,2.3081373749466378e-05,2.3326844752658693e-05,8.054595683203179e-05,7.711036495585313e-05,9.285319185093016e-05,6.15511787219169e-05,4.558587201031471e-05,0.5796262590814389,0.4893645089046982,2.3204109251062536e-05,7.882816089394245e-05,9.285319185093016e-05,5.3568525366115804e-05,6.211349684051275e-05
19,200708020237A,d5,preprocessed_20s_to_120s,1.3820805462300168e-05,1.7379352043906417e-05,4.2225245662536534e-05,6.100176871645716e-05,6.427364847621385e-05,1.8311579161787533e-05,1.624724574044093e-05,0.32329871943850713,0.3786808825791337,1.560007875310329e-05,5.1613507189496844e-05,6.427364847621385e-05,1.7279412451114232e-05,3.7191661717482055e-05
20,200708020237A,d5,preprocessed_40s_to_120s,8.096601736984401e-06,9.29909648577684e-06,1.623114379692403e-05,2.4498413680528104e-05,3.0674947137220905e-05,4.128973082415427e-06,4.146612715370539e-06,0.19336849160887526,0.19440684894899013,8.697849111380622e-06,2.0364778738726068e-05,3.0674947137220905e-05,4.137792898892983e-06,1.5968841971555143e-05
21,200710061238A,d-10,preprocessed_10s_to_120s,1.1996331176114378e-05,1.1175411779879057e-05,2.737217103040265e-05,4.7677541698677963e-05,0.00010075407653592898,1.737418355185472e-05,1.3205900968096077e-05,1.0620842748321,0.9903347431372163,1.1585871477996717e-05,3.7524856364540304e-05,0.00010075407653592898,1.5290042259975397e-05,4.128871165961035e-05
22,200710061238A,d-10,preprocessed_20s_to_120s,5.710030071994028e-06,7.661464690226016e-06,2.0003152338287067e-05,3.2776743950129466e-05,6.650316013535808e-05,7.5746125470448396e-06,6.704379055453697e-06,0.3593325843306942,0.4818581670264634,6.685747381110022e-06,2.6389948144208268e-05,6.650316013535808e-05,7.139495801249268e-06,2.6679587865481412e-05
23,200710061238A,d-10,preprocessed_40s_to_120s,2.275383833418237e-06,3.2654365465211822e-06,6.8289822011040295e-06,1.220393706079088e-05,1.9002835014490253e-05,1.404915321022098e-06,1.7592537816843808e-06,0.3706718078354743,0.46479683183762577,2.7704101899697098e-06,9.516459630947455e-06,1.9002835014490253e-05,1.5820845513532395e-06,8.217947346690163e-06
24,200710061238A,d-15,preprocessed_10s_to_120s,1.198365533868378e-05,1.0961940716148842e-05,2.8153999803823587e-05,5.276019126926456e-05,0.00010650740347578086,1.7793351482055674e-05,1.4116512364659712e-05,1.094488298353689,1.040918223403186,1.1472798027416311e-05,4.045709553654407e-05,0.00010650740347578086,1.5954931923357694e-05,4.359805724077474e-05
