netsta,snr_r,snr_t,snr_z,allsnr_r,allsnr_t,allsnr_z,count
8B.415,3.282305555555556,3.8568666666666664,2.344072222222222,59.081500000000005,69.4236,42.1933,18
8B.416,4.0551055555555555,1.6654000000000002,6.762622222222222,72.9919,29.977200000000003,121.7272,18
8B.417,1.8585153846153848,0.1567846153846154,6.150023076923077,24.160700000000002,2.0382000000000002,79.9503,13
8B.418,4.328553846153847,4.436346153846154,6.680892307692307,56.27120000000001,57.67250000000001,86.85159999999999,13
8B.419,6.703,5.906827777777777,6.91835,120.65400000000001,106.32289999999999,124.5303,18
8B.420,3.2744222222222223,0.5762944444444444,4.561888888888889,58.939600000000006,10.3733,82.114,18
8B.421,0.9873470588235295,1.0785352941176471,4.826947058823529,16.7849,18.3351,82.0581,17
8B.422,3.403138888888889,3.3910722222222223,7.7650999999999994,61.2565,61.039300000000004,139.77179999999998,18
8B.423,0.5980333333333332,-1.489083333333333,4.630177777777778,10.764599999999998,-26.803499999999996,83.34320000000001,18
8B.424,1.2653000000000003,1.28354,0.34452,12.653000000000002,12.835399999999998,3.4452,10
8B.425,2.0441055555555554,2.2803888888888895,6.837416666666666,36.793899999999994,41.04700000000001,123.0735,18
8B.426,4.365883333333333,3.1122833333333326,2.8300277777777776,78.5859,56.02109999999999,50.9405,18
8B.427,2.3177499999999998,2.6741,4.846333333333334,41.7195,48.1338,87.23400000000001,18
8B.428,4.16123888888889,4.595022222222223,6.534377777777778,74.90230000000001,82.7104,117.61880000000001,18
8B.429,5.795127777777777,4.632427777777778,7.71055,104.3123,83.3837,138.7899,18
8B.430,4.395855555555555,3.0914888888888887,6.618733333333333,79.1254,55.6468,119.13719999999999,18
8B.431,4.887977777777779,1.8306888888888884,7.518355555555555,87.98360000000002,32.95239999999999,135.3304,18
8B.432,0.7175166666666667,1.637111111111111,1.1259388888888888,12.9153,29.467999999999996,20.2669,18
8B.433,1.9005888888888889,1.8359333333333336,3.1742666666666666,34.2106,33.046800000000005,57.1368,18
8B.434,2.6121947368421052,0.7933842105263158,6.195073684210525,49.6317,15.074300000000001,117.70639999999999,19
8B.435,1.9333235294117643,1.5506588235294119,3.8758823529411766,32.866499999999995,26.3612,65.89,17
8B.436,4.474515789473684,1.8187842105263161,5.344884210526315,85.0158,34.556900000000006,101.55279999999999,19
8B.437,5.434036842105263,3.6767368421052624,4.663642105263158,103.24669999999999,69.85799999999999,88.6092,19
AD.DLV,3.8366343749999996,0.78324375,11.202231249999999,245.54459999999997,50.1276,716.9427999999999,64
AD.SLV,8.07376153846154,5.122606153846155,13.11338923076923,524.7945000000001,332.96940000000006,852.3702999999999,65
AD.SZP,2.9110956521739144,0.3241681159420292,8.776084057971017,200.8656000000001,22.367600000000017,605.5498000000002,69
AH.ANQ,3.870538129496404,2.4390992805755385,4.323854196642683,1614.0144000000005,1017.1043999999995,1803.0471999999988,417
AH.BAS,4.447611904761908,1.8738664285714293,4.0119564285714295,1867.9970000000014,787.0239000000003,1685.0217000000005,420
AH.BEB,3.995841876430206,2.039098169336383,5.137388329519455,1746.1829,891.0858999999995,2245.038700000002,437
AH.BZH,2.9161380952380958,0.4461023809523812,2.7122904761904776,122.47780000000002,18.73630000000001,113.91620000000006,42
AH.BZY,3.1748304347826095,1.8489739130434788,3.271882246376809,876.2532000000002,510.31680000000017,903.0394999999993,276
AH.CHZ,3.7507965601965614,1.5994103194103193,4.260663636363639,1526.5742000000005,650.9599999999999,1734.090100000001,407
AH.DYN,5.433239429928739,2.434321140142516,8.080522090261281,2287.3937999999994,1024.8491999999992,3401.8997999999992,421
AH.FYT,3.91860081300813,1.2524186991869917,2.3201601626016264,481.98789999999997,154.04749999999999,285.37970000000007,123
AH.FZL,4.468814058956918,2.450608843537413,5.320176417233558,1970.7470000000005,1080.7184999999993,2346.197799999999,441
AH.HBE,4.837930732860525,2.978865011820332,6.136865484633572,2046.4447000000023,1260.0599000000004,2595.894100000001,423
AH.HEF,3.7676144927536246,1.8026555555555552,5.602744202898547,1559.7924000000005,746.2993999999999,2319.5360999999984,414
AH.HNA,4.244397906976743,2.149869302325581,5.752926976744188,1825.0910999999994,924.4437999999997,2473.758600000001,430
AH.HSH,2.9784456818181813,1.2464104545454542,4.324627499999999,1310.5160999999998,548.4205999999998,1902.8360999999998,440
AH.HUS,4.004301951219508,1.8655990243902438,4.338058536585364,1641.7637999999986,764.8956,1778.6039999999991,410
AH.JAS,3.2041151133501233,1.5847113350125948,3.9834027707808555,1272.033699999999,629.1304000000001,1581.4108999999996,397
AH.JIX,4.102346359223302,2.1855366504854365,4.812352669902915,1690.1667000000002,900.4410999999999,1982.689300000001,412
AH.JZA,4.1784684931506835,2.382178904109591,6.273035890410956,1525.1409999999994,869.4953000000006,2289.6580999999987,365
AH.LAN,4.856584183673471,2.162255357142857,7.503631632653066,1903.7810000000006,847.6040999999999,2941.423600000002,392
AH.LNA,3.407760147601476,2.117132103321033,3.1734376383763845,923.503,573.7427999999999,860.0016000000002,271
AH.MAS,4.446597435897435,2.3284158508158503,4.670153613053617,1907.5902999999998,998.8903999999998,2003.4959000000015,429
AH.MCG,4.968447923322683,2.5624779552715657,7.106689456869008,1555.1241999999995,802.0556000000001,2224.3937999999994,313
AH.MCG1,3.6241214285714287,0.9677,6.460192857142856,50.737700000000004,13.5478,90.44269999999999,14
AH.SCH,3.1550954430379754,1.5493103797468353,6.195880506329112,1246.2627000000002,611.9775999999999,2447.372799999999,395
AH.SIX,5.191629241071427,2.133801339285713,4.9071839285714285,2325.8498999999993,955.9429999999993,2198.4184,448
AH.SJH,2.9271815217391315,1.5493065217391304,3.157876811594203,807.9021000000002,427.60859999999997,871.574,276
AH.TOL,4.662150582750583,2.1391384615384608,4.547263636363638,2000.0626000000004,917.6903999999997,1950.7761000000007,429
BJ.BBS,3.1864113821138202,1.88920650406504,3.5852360433604336,1175.7857999999997,697.1171999999998,1322.9521,369
BJ.CIQ,2.697098473282442,1.7647694656488548,2.5312687022900766,353.3198999999999,231.1848,331.5962,131
BJ.DAX,1.0899588235294118,1.2795647058823527,3.481711764705882,18.5293,21.752599999999997,59.189099999999996,17
BJ.DHC,5.367619630484991,3.2630856812933025,4.830265588914547,2324.179300000001,1412.9161,2091.5049999999987,433
BJ.DSQ,2.5461705882352943,1.1003294117647058,3.0600823529411763,43.2849,18.705599999999997,52.0214,17
BJ.FHY,2.157989166666667,1.55727,3.5293041666666665,258.9587,186.8724,423.51649999999995,120
BJ.JIZ,2.5715229508196735,1.0644991803278685,3.120281147540982,313.72580000000016,129.86889999999997,380.6742999999998,122
BJ.LBG,1.8404235294117646,1.2410764705882351,2.5417117647058824,31.2872,21.0983,43.2091,17
BJ.LBP,4.505389563106798,2.689517718446602,7.820938592233012,1856.2205000000006,1108.0813,3222.226700000001,412
BJ.LLM,5.902427045454542,3.9961597727272724,10.399057272727278,2597.067899999998,1758.3102999999999,4575.585200000002,440
BJ.LQS,1.910817647058823,2.046358823529412,1.9423823529411763,32.48389999999999,34.7881,33.0205,17
BJ.MAF,3.8696590163934403,3.0871967213114737,1.9340926229508202,472.09839999999974,376.6379999999998,235.95930000000007,122
BJ.MDY,4.603666666666667,1.9749933333333336,4.053046666666668,69.055,29.624900000000004,60.79570000000001,15
BJ.MIY,5.214010599078341,3.2807569124423948,7.195600230414746,2262.8806,1423.8484999999994,3122.8904999999995,434
BJ.NKY,5.421542600896855,3.3539966367712997,5.2540470852017895,2418.007999999997,1495.8824999999997,2343.304999999998,446
BJ.NLS,2.534813445378152,2.217667226890757,3.2076554621848725,301.6428000000001,263.90240000000006,381.71099999999984,119
BJ.NSC,2.345854545454545,0.6220636363636363,-0.009027272727272762,25.804399999999998,6.842699999999999,-0.09930000000000039,11
BJ.SFS,2.0423142857142857,1.1275071428571428,3.7096357142857146,28.5924,15.785099999999998,51.934900000000006,14
BJ.SSL,3.807767213114758,2.4591377049180334,6.468390398126468,1625.9166000000016,1050.0518000000002,2762.002700000002,427
BJ.SZL,1.8167882352941178,1.6409529411764705,0.7824,30.885400000000004,27.896199999999997,13.3008,17
BJ.TIT,3.401842016806723,1.907673109243698,4.084739495798319,404.8192,227.01310000000007,486.08399999999995,119
BJ.TST,2.7866500000000003,2.96849,2.02394,27.866500000000002,29.6849,20.2394,10
BJ.XBZ,4.636748245614033,3.115768128654973,7.184574269005848,1585.7678999999991,1065.5927000000008,2457.1244,342
BJ.XIJ,5.015064743589744,2.366809615384615,5.792454487179488,782.3501000000001,369.22229999999996,903.6229000000002,156
BJ.YAZ,3.3593429752066104,1.9639264462809916,4.012062809917354,406.48049999999984,237.63509999999997,485.45959999999985,121
BJ.YUF,2.778426732673269,1.0217752475247524,2.213059405940594,280.6211000000001,103.19929999999998,223.51899999999998,101
BJ.ZHT,4.374744152744628,2.952207159904535,8.807826491646777,1833.0177999999992,1236.9748000000002,3690.4792999999995,419
BJ.ZKD,2.6315,1.209229411764706,2.0929176470588238,44.7355,20.556900000000002,35.579600000000006,17
BO.ABU,6.591904729729739,1.9453858108108097,8.483684459459457,2926.8057000000044,863.7512999999996,3766.755899999999,444
BO.ADM,6.562397027600843,1.3371970276008491,9.07836305732484,3090.888999999997,629.8198,4275.909,471
BO.AMM,4.927703624733475,1.217682302771855,9.261989978678036,2311.093,571.0930000000001,4343.873299999999,469
BO.AOG,2.8182580786026166,0.9413823144104808,5.463143886462885,1290.7621999999983,431.1531000000002,2502.1199000000015,458
BO.ASI,6.454784486373166,2.176154507337525,9.343645073375265,3078.9322,1038.0256999999992,4456.918700000002,477
BO.FUJ,5.416346947368418,1.080705263157894,9.002206315789467,2572.7647999999986,513.3349999999996,4276.047999999997,475
BO.FUK,6.17364509394572,2.130969728601253,9.89980563674321,2957.176,1020.7345000000001,4742.006899999998,479
BO.GJM,5.261768267223379,1.0317306889352815,9.9807676409186,2520.386999999999,494.19899999999984,4780.78770000001,479
BO.HID,6.130174844074852,2.1117405405405383,9.634096049896051,2948.614100000004,1015.747199999999,4634.0002,481
BO.HJO,4.012549685534593,0.5803486373165625,8.425944444444445,1913.9862000000005,276.8263000000003,4019.1755000000003,477
BO.HRO,4.245975999999999,0.5832138947368418,8.578683789473688,2016.8385999999994,277.02659999999986,4074.8748000000014,475
BO.HSS,5.430057952069716,1.869862962962963,8.178010675381264,2492.3965999999996,858.2671,3753.7069,459
BO.IGK,4.932436595744682,1.274686170212765,8.753760000000005,2318.2452000000008,599.1024999999995,4114.267200000002,470
BO.IMG,3.895373430962344,1.1326554393305446,9.075253138075324,1861.9885000000004,541.4093000000003,4337.971000000005,478
BO.INN,6.340329853862209,2.662155741127348,10.509781837160755,3037.017999999998,1275.1725999999999,5034.185500000001,479
BO.ISI,6.714330462184867,2.947831512605041,10.068939285714292,3196.0212999999967,1403.1677999999995,4792.8151000000025,476
BO.IYG,4.977875704989154,1.3373902386117142,9.114389370932752,2294.8007000000002,616.5369000000003,4201.7334999999985,461
BO.IZH,7.057645744680846,2.595836595744679,10.607620425531914,3317.0934999999977,1220.0431999999992,4985.5815999999995,470
BO.JIZ,5.9008516736401715,1.047119246861924,9.126998117154809,2820.607100000002,500.5229999999997,4362.705099999998,478
BO.KGM,4.6625892307692265,0.8471006593406593,8.812589670329679,2121.478099999998,385.4308,4009.728300000004,455
BO.KIS,6.6368753164556935,1.542056751054851,9.363524261603366,3145.878899999999,730.9348999999994,4438.310499999996,474
BO.KMT,6.737281628392485,1.7644853862212952,9.649535281837153,3227.1579,845.1885000000004,4622.127399999997,479
BO.KMU,7.1926177083333345,2.6286462499999983,9.371471666666661,3452.4565000000007,1261.7501999999993,4498.306399999998,480
BO.KNM,7.582676100628927,2.3189356394129974,9.788776939203359,3616.936499999998,1106.1322999999998,4669.246600000002,477
BO.KNP,6.782184518828456,2.676458577405857,9.999035983263601,3241.884200000002,1279.3471999999997,4779.539200000001,478
BO.KNY,6.173897708333327,1.2928749999999996,8.697386875,2963.470899999997,620.5799999999998,4174.7456999999995,480
BO.KSK,6.5432929936305735,1.5288692144373683,9.568919745222937,3081.891,720.0974000000004,4506.961200000003,471
BO.KSN,5.874338297872334,1.5396148936170229,8.847992127659579,2760.9389999999967,723.6190000000007,4158.556300000002,470
BO.KSR,5.771804184100419,2.0019368200836816,9.246556903765692,2758.9224000000004,956.9257999999998,4419.854200000001,478
BO.KYK,5.296166596194502,1.7042983086680759,9.705738266384776,2505.0867999999996,806.1330999999999,4590.814199999999,473
BO.KZK,6.538368619246865,1.9517721757322168,9.182973640167363,3125.3402000000015,932.9470999999996,4389.461399999999,478
BO.KZS,3.3281167014613784,0.45947244258872694,7.402636116910237,1594.1679000000001,220.0873000000002,3545.8627000000038,479
BO.MMA,4.700583333333331,1.746047368421052,8.427640350877192,535.8664999999997,199.04939999999993,960.751,114
BO.NAA,6.147188865546221,1.6814212184873956,9.561106092436976,2926.0619000000015,800.3565000000003,4551.0865,476
BO.NKG,6.929099572649575,2.8221344017094014,9.848544230769228,3242.818600000001,1320.7588999999998,4609.118699999999,468
BO.NMR,4.117921834061134,1.678576419213974,5.2937336244541475,1886.0081999999993,768.7880000000001,2424.5299999999997,458
BO.NOK,6.3481759414225944,1.8121424686192469,9.64002008368201,3034.4281,866.2041,4607.929600000001,478
BO.NOP,7.039195000000003,3.0446020833333325,10.008237708333336,3378.8136000000013,1461.4089999999997,4803.954100000002,480
BO.NRW,6.421129227557415,2.5973544885177478,10.446255949895631,3075.720900000002,1244.1328000000012,5003.756600000007,479
BO.NSK,6.938878451882851,2.6041119246861943,10.11100167364017,3316.7839000000026,1244.7655000000009,4833.058800000001,478
