time,latitude,longitude,depth,depthUnits,magnitude,magnitudeType,magnitudeContributor,catalog,contributor,name,flinnEngdahlRegion,flinnEngdahlRegionType
2010-12-18T14:02:23.530000Z,18.58,146.83,43740.0,METER,5.27,mw,,,,MARIANA ISLANDS,0,1
2010-12-25T05:55:27.590000Z,25.45,141.17,12000.0,METER,5.23,mw,,,,"VOLCANO ISLANDS, JAPAN REGION",0,1
2010-12-25T11:41:07.970000Z,26.97,143.78,12000.0,METER,5.08,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2011-01-29T12:39:00.010000Z,21.71,142.85,319070.0,METER,5.47,mw,,,,MARIANA ISLANDS REGION,0,1
2011-02-22T02:10:23.460000Z,14.16,120.53,138160.0,METER,5.2,mw,,,,"LUZON, PHILIPPINES",0,1
2011-02-22T14:09:51.950000Z,22.23,143.98,106270.0,METER,5.54,mw,,,,"VOLCANO ISLANDS, JAPAN REGION",0,1
2011-02-23T22:14:05.960000Z,31.46,140.45,90510.0,METER,5.43,mw,,,,"SOUTHEAST OF HONSHU, JAPAN",0,1
2011-03-12T11:46:00.770000Z,35.83,141.86,12000.0,METER,5.29,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2011-03-14T06:52:25.090000Z,36.93,141.11,49910.0,METER,5.16,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2011-03-16T17:12:36.540000Z,56.68,121.57,16160.0,METER,5.06,mw,,,,"SOUTHEASTERN SIBERIA, RUSSIA",0,1
2011-03-22T15:49:29.780000Z,39.17,142.27,37830.0,METER,5.14,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2011-04-16T01:11:12.310000Z,25.3,123.98,138080.0,METER,5.79,mw,,,,NORTHEAST OF TAIWAN,0,1
2011-04-16T02:19:33.700000Z,36.4,140.0,80590.0,METER,5.77,mw,,,,"NEAR EAST COAST OF HONSHU, JAPAN",0,1
2011-04-16T09:20:27.210000Z,27.88,139.24,517340.0,METER,5.18,mw,,,,"BONIN ISLANDS, JAPAN REGION",0,1
2011-04-29T13:12:48.380000Z,21.24,121.92,184730.0,METER,5.34,mw,,,,TAIWAN REGION,0,1
2011-05-10T15:26:08.780000Z,43.61,130.98,564450.0,METER,5.73,mw,,,,E. RUSSIA-N.E. CHINA BORDER REG.,0,1
2011-05-14T22:30:31.330000Z,42.95,146.37,36820.0,METER,5.11,mw,,,,"OFF COAST OF HOKKAIDO, JAPAN",0,1
2011-05-15T12:14:23.400000Z,37.29,142.67,72420.0,METER,5.07,mw,,,,"OFF EAST COAST OF HONSHU, JAPAN",0,1
