121.57 56.68 201103161712A 
101.63 30.51 201004272022A 
126.5089 6.4469 200912260509A 
138.38 42.07 201703272231A 
142.67 29.17 201712210156A 
86.96 43.52 201303290501A 
141.43 34.33 201010301906A 
132.8 34.86 201111211016A 
103.619 31.3006 200805121111A 
92.92 32.37 201003240244A 
120.5991 23.8491 200911051134A 
125.59 13.52 200803031411A 
147.47 17.26 201511131221A 
130.2464 29.0285 200910250617A 
162.44 54.63 200910232000B 
142.0 38.41 201502260111A 
142.1886 34.6814 201002280817A 
120.86 19.23 201601041436A 
126.84 26.47 201708080549A 
126.5102 6.5399 200912101506A 
141.17 25.45 201012250555A 
93.76 24.34 201708021818A 
129.91 27.09 200904200722A 
113.75 56.21 201501180641A 
141.6976 37.1412 200912020614A 
87.75 49.8 201301240735A 
143.01 26.62 201006111658A 
125.5422 12.476 200801070746A 
142.27 39.17 201103221549A 
144.12 14.63 201003061723A 
125.05 7.88 201708050739A 
97.94 30.02 201308112358A 
127.06 7.69 200901191729A 
119.47 16.25 201612201351A 
127.1305 6.0693 200803201410A 
126.63 10.35 201209030214A 
146.96 20.8 201312281931A 
141.86 35.83 201103121146A 
131.76 30.78 201712182328A 
94.46 10.76 200907262149A 
124.89 5.47 201712311453A 
145.62 12.97 201503120750A 
137.54 8.37 201601270124A 
96.09 15.48 200903051549A 
159.63 55.24 201606280932A 
142.762 41.8796 200806252337A 
85.08 47.28 201704041507A 
122.06 10.0 200907111519A 
151.36 45.38 201306041101A 
95.8317 37.6648 200911042156A 
90.54 40.62 201211260533A 
154.333 45.882 200710251350A 
127.8404 27.8395 200910031536A 
88.2752 43.056 201106080153B 
143.0537 42.2129 201001141846A 
89.3 33.96 201312111614A 
146.67 43.12 200803130841A 
86.0 54.28 201306182302A 
146.37 42.95 201105142230A 
143.66 12.08 201309221930A 
125.5208 5.8034 201002261618B 
95.12 12.11 200906222310A 
91.62 27.2 200910291700A 
126.763 10.0931 200912292214A 
96.03 51.74 201202261159A 
160.45 52.15 201305192351A 
91.95 10.85 200903111258A 
126.4201 9.6892 200712271752A 
133.59 6.11 201802120052A 
145.53 6.32 201601300008A 
122.7895 23.6924 201002260107A 
93.1213 13.9791 200911022135A 
144.99 13.45 200803262006A 
127.73 5.65 201704111555A 
143.78 26.97 201012251141A 
141.11 36.93 201103140652A 
143.82 40.38 201608201610A 
