158.73 53.86 13361 
152.81 53.2 9515 
145.7 49.97 8809 
138.19 33.05 8767 
145.35 18.67 8695 
123.59 6.54 8556 
123.9 6.62 8544 
123.41 6.69 8523 
138.17 31.61 8374 
125.77 27.13 7629 
139.85 27.68 7276 
141.91 24.98 7151 
138.79 30.02 6929 
155.59 50.64 6790 
153.77 54.61 6780 
123.48 6.83 6635 
130.1828 31.0794 6602 
122.31 20.24 6441 
140.56 27.94 6299 
130.66 42.48 6238 
142.52 43.83 6119 
139.75 27.79 6083 
139.253 28.6957 5961 
123.5606 6.7774 5831 
134.93 42.12 5774 
131.02 42.77 5581 
138.88 30.02 5369 
152.77 53.44 5297 
126.9241 27.3412 5268 
139.94 26.94 4739 
125.6544 5.7318 4681 
137.78 30.69 4320 
145.26 18.82 4269 
151.48 52.36 4006 
123.56 6.23 3997 
124.02 9.33 3959 
145.22 46.97 3866 
145.18 18.54 3811 
123.7 6.95 3753 
159.37 55.67 3643 
137.91 29.79 3604 
138.67 30.43 3451 
139.19 29.07 3446 
122.91 25.32 3438 
143.95 22.01 3410 
136.86 34.35 3374 
138.9 47.29 3319 
121.92 21.24 3206 
140.19 27.16 3188 
131.05 42.82 3066 
144.6698 19.2589 2927 
133.65 42.19 2704 
140.83 44.45 2679 
153.01 52.62 2645 
129.75 44.83 2645 
139.1478 41.6007 2625 
144.6 46.93 2591 
128.32 29.48 2532 
140.35 26.73 2479 
148.12 47.86 2465 
140.02 27.36 2391 
140.18 41.05 2334 
138.88 30.21 2317 
129.39 29.65 2245 
139.31 28.23 2084 
138.89 29.95 2044 
136.87 36.19 1890 
139.97 27.1 1810 
131.9614 42.5081 1765 
152.96 52.76 1720 
122.5 19.87 1668 
130.86 43.2 1655 
140.36 26.21 1587 
146.87 46.82 1583 
130.98 43.61 1555 
148.66 48.13 1545 
138.47 30.75 1471 
142.85 21.71 1451 
132.96 41.76 1443 
137.84 31.08 1441 
140.1701 39.0921 1405 
140.19 27.02 1401 
140.22 26.93 1382 
137.37 45.1167 1319 
124.68 6.49 1314 
145.97 18.33 1298 
145.11 18.89 1255 
138.66 28.75 1217 
133.48 37.88 1210 
139.25 29.25 1183 
122.2 25.81 1167 
137.99 31.8 1138 
139.56 27.71 1092 
135.18 41.9 1035 
145.76 18.47 1028 
140.33 27.05 1019 
141.97 48.94 1008 
123.27 6.76 999 
142.62 21.67 958 
136.5974 33.8399 955 
139.52 43.7 932 
137.62 31.98 927 
149.11 48.33 923 
133.24 42.39 920 
145.54 19.0 918 
147.52 49.18 894 
138.02 31.99 882 
124.07 9.4 846 
141.78 45.99 800 
139.5883 27.8149 789 
148.39 47.78 786 
147.25 49.12 778 
126.26 8.56 771 
150.21 46.33 762 
123.97 9.45 728 
139.18 32.4 688 
145.2043 47.6184 654 
135.7398 40.8339 654 
133.91 43.37 653 
137.96 31.78 635 
142.18 45.53 631 
142.65 45.42 565 
138.48 30.27 553 
143.02 21.73 547 
145.0142 18.5664 525 
124.57 5.89 508 
123.73 7.1 490 
145.21 18.56 472 
123.4483 6.7318 437 
123.4 6.67 421 
138.44 30.87 409 
139.24 27.88 400 
123.94 8.34 399 
123.46 7.46 391 
123.56 6.86 329 
140.6 27.12 283 
145.23 18.41 159 
123.68 6.91 117 
147.61 47.9 103 
