200808050949A 105.5676 32.6947 1.4055 5.94 4.6 5401 713 3471996
201104160219A 140.0 36.4 80.59 5.77 3.8 5372 1010 3463139
201304210322A 138.88 30.02 429.84 6.12 5.6 5369 910 3281713
200907131805A 121.9988 23.9905 21.1103 6.3 7.0 5358 782 3504577
200808270135A 104.0117 51.7641 19.6052 6.22 6.8 5337 832 3367701
201103220718A 144.0039 37.1154 10.1083 6.44 7.8 5319 740 3547516
200908170005A 123.57 23.29 16.2778 6.68 10.4 5310 758 3644866
200912100230A 152.77 53.44 654.8167 6.26 6.8 5297 796 3189073
201207091925A 130.31 29.23 34.36 5.58 3.0 5277 886 3379434
200903261919A 126.9241 27.3412 154.0196 5.83 4.2 5268 785 3101485
201108011458A 138.39 34.65 19.15 5.95 4.6 5265 1024 3320098
200808300830A 102.0393 26.1872 15.0497 5.81 4.6 5249 782 3260912
201210140941A 154.81 48.27 46.12 5.8 3.8 4973 894 3317242
201304122033A 134.69 34.43 18.43 5.88 4.2 4926 911 3153379
200812201029A 142.54 36.56 2.3938 6.34 7.2 4920 545 3144480
200804231828A 121.64 22.85 6.3996 5.93 4.8 4906 719 3046313
201011051640A 122.97 12.92 16.16 5.76 3.6 4903 1003 3101382
201802112314A 146.65 13.66 18.22 5.98 4.8 4902 995 3081580
201110140610A 123.7588 54.1686 11.8562 5.94 5.0 4896 787 3018941
200908050018A 125.2114 24.1979 25.3058 6.13 5.6 4863 719 3175420
201005311016A 123.93 6.91 24.0102 5.89 4.6 4863 688 3088407
201604181142A 131.12 33.0 13.24 5.51 2.8 4859 1031 3153398
201003300102A 138.4619 43.2706 8.2868 5.75 3.6 4836 871 3136083
201302250723A 139.39 36.89 12.83 5.8 3.8 4780 864 2934963
200909211938A 94.8651 20.1438 74.1252 5.66 3.4 4759 732 3153871
201101122132A 139.94 26.94 511.9992 6.49 8.8 4739 793 2823964
200805250821A 105.4563 32.5658 18.3022 5.98 5.2 4727 676 2928866
200807211130A 142.2759 37.1675 26.8771 5.92 4.4 4702 667 3053646
201107112047A 122.1166 9.6565 16.27 6.42 8.6 4697 707 3046886
200811100122A 95.7597 37.5133 23.945 6.25 7.2 4691 782 3126879
200807080742A 128.6363 27.3384 46.5492 5.93 4.8 4682 663 3145602
200812250320A 125.6544 5.7318 192.7601 6.3 6.8 4681 706 2747589
201005290230A 96.28 33.2 11.0823 5.65 3.8 4678 819 2823189
201003221958A 120.6001 18.6204 45.2454 5.8 4.0 4652 771 3168620
201107251715A 119.82 15.11 40.4118 5.89 4.6 4630 695 3201691
201010141358A 143.15 42.14 62.45 5.55 3.0 4516 968 3104535
201006281207A 141.8248 30.608 16.4534 5.78 3.8 4471 824 2794891
200906140558A 126.5903 5.3184 36.0778 6.12 5.6 4460 696 2917757
201003301654A 92.76 13.58 28.833 6.63 10.2 4445 800 2779474
200712251404A 142.3646 38.4043 40.6383 6.06 5.2 4400 598 2952296
200904171452A 151.97 46.06 50.14 5.61 3.2 4391 947 2923481
200806010157A 121.1923 20.1714 30.0765 6.29 7.2 4388 722 3011553
201006130332A 141.7494 37.4164 32.8297 5.9 4.6 4387 824 2953546
200708020237A 141.8059 46.8397 3.083 6.14 6.0 4372 519 2883937
201705221100A 147.85 43.88 54.97 5.59 3.0 4354 993 2706320
201608251704A 137.78 30.69 473.24 5.91 4.4 4320 1023 2577622
201209070319A 104.12 27.47 12.0 5.58 3.0 4292 909 2659539
200808100820A 91.83 10.96 16.7114 6.17 5.8 4288 664 2622828
200908171011A 123.51 23.34 7.3197 6.22 5.6 4276 740 2688089
201511241321A 145.26 18.82 582.48 5.97 4.8 4269 1021 2565070
200709061751A 122.3377 24.2287 54.6895 6.23 6.4 4233 512 2865040
201012222149A 143.6931 26.7909 30.0093 6.39 7.6 4228 659 2659259
201703050008A 125.48 9.84 20.33 5.72 3.6 4196 1022 2610277
200807131458A 121.0429 21.0409 8.9806 6.16 6.0 4149 662 2614971
201712091514A 140.17 10.03 12.0 6.06 5.2 4007 1000 2345913
201305241456A 151.48 52.36 642.37 6.73 11.2 4006 899 2595967
201007240535A 123.56 6.23 556.2453 6.55 9.4 3997 759 2444629
201203121232A 147.87 45.09 124.94 5.59 3.0 3996 930 2594390
200808151025A 124.37 13.07 9.7857 5.96 4.8 3982 665 2474648
201705200106A 124.02 9.33 544.58 5.98 4.8 3959 1015 2355588
201202260234A 120.7 22.69 25.0 5.93 4.6 3939 912 2508010
201605030000A 147.65 43.66 74.13 5.73 3.6 3939 1005 2380840
201607251511A 128.71 26.49 24.21 5.25 2.0 3935 998 2517402
201702190919A 140.74 35.64 45.26 5.49 2.8 3918 1011 2477819
200911050932A 120.63 23.81 24.8055 5.52 3.0 3868 830 2405887
201308041556A 145.22 46.97 378.01 5.84 4.0 3866 882 2304882
201301181242A 99.55 30.95 21.19 5.58 3.0 3847 906 2381923
201802061915A 121.83 23.94 18.39 5.48 2.6 3839 978 2419580
201311191700A 145.18 18.54 515.23 6.01 5.0 3811 960 2303010
201001151108A 126.47 26.64 126.2072 5.68 3.6 3801 788 2294942
201311232330A 86.8 36.75 17.1 5.67 3.4 3788 1005 2201863
201701030909A 92.03 23.98 24.47 5.6 3.0 3782 1029 2167584
201206240759A 100.75 27.72 12.47 5.56 3.0 3767 895 2330170
201805101802A 123.7 6.95 543.08 5.88 4.2 3753 991 2213088
200803142232A 143.0 26.88 11.0999 6.03 4.8 3738 645 2424029
201504150739A 106.39 39.74 25.6 5.47 2.6 3737 1026 2248675
201211020152A 163.56 55.74 22.68 5.58 3.0 3705 905 2449482
200909180624A 120.38 12.65 5.51 5.87 4.6 3698 668 2377488
200909210853A 91.634 27.1966 14.6118 5.99 5.6 3672 764 2267089
201510160638A 159.37 55.67 283.88 5.66 3.2 3643 993 2034805
201103111859A 138.5929 37.0469 3.785 6.3 6.8 3638 825 2305214
201001020845A 141.7801 12.2954 4.8152 6.11 5.0 3609 691 2230281
201211121115A 137.91 29.79 506.0 5.74 3.6 3604 887 2191770
201308112123B 97.95 30.02 12.56 5.79 3.8 3566 874 2166730
201004140125A 96.54 33.176 12.8609 5.96 5.2 3563 834 2154551
201003240206A 92.89 32.37 11.2987 5.62 3.4 3561 807 2131668
200710081710A 146.9502 43.4511 39.2769 5.67 3.4 3547 597 2280287
200710061238A 147.4461 18.84 34.1462 6.05 5.2 3530 617 2222953
201102232214A 140.45 31.46 90.51 5.43 2.6 3528 996 2357327
200808160401A 98.3157 52.1615 17.925 5.59 3.6 3489 696 2082530
201506100833A 143.64 39.66 22.02 5.7 3.4 3461 1022 2177685
201001170604A 143.619 37.9948 16.4311 5.63 3.0 3453 794 2191231
201602141809A 138.67 30.43 421.51 5.75 3.6 3451 1015 2075287
201210230853A 139.19 29.07 443.04 5.93 4.6 3446 907 2043584
200904040531A 127.1966 5.205 54.5871 6.22 6.4 3445 725 2294057
201110300323A 122.91 25.32 213.1 5.67 3.4 3438 901 2062482
200908280152A 95.76 37.64 7.8727 6.23 6.6 3425 769 2103915
201002060444A 152.9555 46.6577 48.602 5.97 4.8 3414 751 2340556
201305122305A 143.95 22.01 156.13 5.55 2.8 3410 862 2033979
200802270654A 142.8 26.72 15.2661 6.29 6.4 3408 614 2231542
201001271849A 125.5451 13.734 12.2527 5.86 4.2 3404 760 2177174
201003061331A 147.7683 44.0829 53.2707 5.62 3.4 3403 745 2327163
201003131246A 141.4452 37.6197 75.5884 5.47 2.8 3396 765 2246479
200901262130A 120.6441 57.4874 4.3615 5.36 2.4 3391 738 2139974
200908112143A 94.7873 24.2665 102.0963 5.44 2.8 3378 677 2044306
201311181910A 136.86 34.35 339.93 5.69 3.4 3374 989 2009326
200912290901A 94.8473 24.319 98.9283 5.6 3.2 3356 659 2041781
200910131015A 149.3578 44.5452 29.7595 5.58 3.0 3350 761 2148759
201801032130A 140.3 29.66 12.0 5.43 2.6 3342 972 2074249
201207290920A 138.9 47.29 506.93 5.71 3.6 3319 893 2059462
201108271029A 104.51 43.98 14.5979 5.31 2.6 3285 750 1967540
200911281810A 126.5653 5.4016 28.3933 5.98 5.2 3283 755 2078610
201208080711A 125.06 25.77 140.6 5.41 2.4 3230 882 1985039
